0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,mean_freq,target,cat_id
2437.2454,-1072.3585,-2637.8909,146.75906,145.53146,4194.392,-1488.9222,-1596.5071,5151.5522,1748.8152,658.6496,20.895077,-418.10724,-350.3673,-315.603,-3239.4028,-4949.777,-4698.669,-2250.8215,-3493.902,-2927.0159,2362.2605,-2031.4576,1534.9147,-6975.7744,-5741.682,-3160.4937,-5427.4814,-1661.7042,813.6722,-1736.1775,-2277.23,-3811.7812,-4457.787,-7249.0386,-1713.9724,1197.8047,715.5171,2680.5874,-627.85236,-5236.4653,-549.58936,-986.4121,843.5653,-2884.738,983.9694,-7541.3105,-4539.591,1449.0349,-4047.712,-1988.9246,-1384.8411,1931.4052,4715.147,-4763.819,-1961.1486,-5705.101,843.30676,-805.88257,-4215.009,-613.7281,146.48822,3556.0413,568.7217,-2212.7903,-1043.4668,-1597.095,-1543.7817,-3015.5295,-2261.1592,-5256.1777,686.1086,1416.6067,1937.6711,-1186.762,-2536.403,1340.1404,-5140.288,-3509.4111,-6427.4927,-2271.2148,-3354.9531,2640.1213,1802.7151,-1077.3192,-4634.264,-2070.7751,-4921.4355,-970.0824,-6525.5654,1598.6432,-4975.832,1335.3694,-4308.1157,-5179.168,-5087.0713,-1308.2457,1119.4515,329.4484,-2248.8435,-961.8202,-3512.4558,-1994.736,-3787.266,1651.0859,1858.0942,-3250.677,1861.0387,-3275.8562,-1396.7832,-250.20972,2024.7173,-3545.423,-1114.7632,-252.99454,1681.4697,-916.5793,-5368.6074,4172.6245,-3166.7668,1126.6635,-5822.3657,2096.7898,-419.19778,-2430.3083,2875.576,-5188.6997,-990.5252,1541.13,0.0,043A
2969.2925,-1322.7545,-3153.5059,153.63956,155.98824,5055.2026,-1747.8829,-2038.0038,6238.351,2076.2786,793.63617,58.093845,-533.9692,-433.20258,-442.7414,-3892.0203,-5994.0034,-5695.98,-2716.8792,-4127.558,-3593.0747,2970.7341,-2462.3335,1824.2102,-8492.606,-7043.0757,-3745.0896,-6533.0435,-2057.5369,979.1978,-2120.504,-2808.1138,-4647.789,-5464.12,-8763.512,-2049.71,1474.5834,869.849,3198.3242,-727.5889,-6384.769,-660.3055,-1211.4768,1062.1917,-3506.99,1226.2561,-9219.849,-5564.466,1757.7568,-4989.1626,-2396.3318,-1689.5323,2280.1392,5718.2065,-5750.554,-2393.1016,-7036.995,946.0309,-1081.5786,-5061.546,-831.7148,250.66795,4324.2583,712.96515,-2721.341,-1272.5483,-1887.8156,-2001.7898,-3731.7197,-2708.2332,-6390.7803,826.816,1683.9015,2335.09,-1480.2035,-3125.0083,1693.7594,-6271.9336,-4252.457,-7867.906,-2807.1987,-4079.2246,3118.1997,2217.5706,-1443.4069,-5705.002,-2596.317,-5991.1133,-1221.5388,-7937.873,1869.6642,-6070.7505,1686.7959,-5303.773,-6311.424,-6116.0347,-1613.8722,1346.167,366.1762,-2639.4773,-1190.3705,-4326.1675,-2461.1572,-4685.537,1944.7292,2249.8877,-3961.647,2273.1,-3964.4097,-1722.8695,-323.84058,2338.7087,-4308.929,-1303.8457,-366.34714,1998.4299,-1108.052,-6568.8447,5038.047,-3857.3826,1394.2118,-7034.109,2552.4675,-434.43,-3009.1465,3513.1487,-6253.6787,-1115.3739,307.07,17.0,011A
2545.0264,-1029.5079,-2776.8933,165.89702,174.43222,4415.7163,-1495.8187,-1709.7776,5394.299,1799.8971,760.13434,93.80477,-440.95493,-285.82184,-315.7813,-3379.4788,-5171.3555,-4954.2446,-2347.4143,-3685.4563,-3114.6548,2550.6804,-2177.2192,1631.9946,-7283.533,-6044.0757,-3300.5842,-5703.0527,-1766.5726,887.5441,-1834.2902,-2430.163,-4081.6965,-4831.4023,-7605.5566,-1815.9553,1369.6173,726.53516,2845.6353,-653.1258,-5582.4478,-518.33057,-1069.5575,1024.6523,-3082.5725,1059.2488,-7965.0845,-4724.683,1571.4412,-4392.3706,-2088.0718,-1428.5195,2013.7876,4973.0874,-5004.363,-2069.4038,-6074.6855,911.39514,-892.8874,-4373.8135,-711.19415,166.65703,3779.411,646.75397,-2328.9172,-1094.9806,-1591.5035,-1709.5623,-3120.3162,-2412.118,-5480.2607,758.70026,1496.3907,2013.908,-1230.6034,-2659.2407,1397.47,-5446.1445,-3786.263,-6802.155,-2458.5693,-3543.156,2789.9675,1894.4551,-1208.4581,-4844.236,-2133.183,-5178.004,-1018.2178,-6872.612,1685.9083,-5250.867,1485.0569,-4586.232,-5490.005,-5379.7095,-1407.4407,1161.6298,332.12854,-2294.1199,-1074.6404,-3721.0237,-2134.3906,-4071.7583,1693.2231,1910.5128,-3373.5457,1989.5107,-3439.017,-1444.8785,-272.49017,2064.52,-3759.0327,-1146.8654,-229.14633,1802.36,-946.6373,-5727.8984,4418.892,-3348.3987,1311.1237,-6055.944,2266.6074,-394.41537,-2579.5286,3031.0417,-5444.253,-970.3953,571.48,14.0,093A
2936.8257,-1402.724,-3208.899,128.32452,180.73576,5130.43,-1769.4635,-1971.7554,6343.312,2165.088,883.83136,-2.1533616,-537.991,-496.9567,-447.23645,-3974.95,-6128.0796,-5750.97,-2802.2305,-4320.3706,-3584.8088,2858.5642,-2496.987,1838.912,-8557.404,-7053.1235,-3763.464,-6655.3145,-2071.1833,1014.6948,-2111.0188,-2800.5054,-4634.5215,-5403.512,-8906.6,-2104.6206,1463.0889,847.3167,3340.1777,-817.477,-6439.745,-749.2022,-1263.302,953.2863,-3567.458,1169.4766,-9329.731,-5618.0186,1723.4062,-5052.9287,-2387.415,-1756.543,2349.9084,5820.4,-5861.944,-2392.0671,-7020.9883,1048.3765,-978.1812,-5210.689,-780.8311,286.04178,4324.0215,747.19965,-2760.2698,-1282.1632,-1980.9149,-2011.4117,-3677.1,-2793.733,-6425.856,855.9481,1733.085,2366.4375,-1488.5476,-3175.7124,1676.0696,-6309.6934,-4272.878,-7851.988,-2789.1738,-4159.8276,3247.3635,2206.677,-1341.5487,-5762.517,-2581.5632,-5996.667,-1229.0057,-7955.1846,1991.1093,-6235.5244,1650.7937,-5260.316,-6449.369,-6243.502,-1614.7643,1345.2073,423.6443,-2748.798,-1161.4689,-4448.138,-2495.014,-4707.5513,2024.3737,2255.1213,-4025.8225,2303.0,-4039.6724,-1763.6564,-271.67896,2356.388,-4420.727,-1427.2838,-330.93707,2114.914,-1172.7634,-6612.3496,5131.2036,-4028.1472,1390.4376,-7181.6714,2545.7288,-487.14288,-3083.8057,3485.142,-6318.1807,-1224.4608,659.65,13.0,016A
3048.3972,-1422.4738,-3292.407,147.94675,218.31062,5346.636,-1835.0326,-2087.8237,6601.333,2234.081,945.5548,58.17348,-550.2584,-433.38757,-442.7716,-4107.3022,-6333.973,-6033.2886,-2860.286,-4487.924,-3660.808,2999.616,-2590.7705,1958.5471,-8894.256,-7338.9326,-3916.144,-6871.0234,-2122.611,1062.1498,-2212.2878,-2919.2192,-4810.4424,-5721.4517,-9287.281,-2209.773,1547.457,895.9972,3442.7583,-854.86633,-6714.768,-744.4298,-1342.8025,1044.2205,-3740.3206,1233.2668,-9624.532,-5765.7007,1783.8324,-5261.984,-2479.2734,-1820.4995,2449.9487,6052.0874,-6054.0347,-2528.0427,-7331.8574,1116.7019,-1007.146,-5397.288,-782.9195,306.19427,4561.5654,765.9629,-2827.3596,-1332.4316,-1995.708,-2165.4895,-3817.883,-2900.27,-6648.8853,890.3121,1816.0723,2489.8975,-1531.1746,-3302.266,1734.3258,-6557.9355,-4491.8403,-8191.2544,-2902.9365,-4309.036,3404.737,2289.6702,-1372.6198,-5998.317,-2644.035,-6196.683,-1310.594,-8321.446,2057.9688,-6437.7354,1717.9849,-5526.027,-6669.458,-6518.737,-1667.3094,1391.4043,440.41687,-2872.9858,-1242.2001,-4558.557,-2581.567,-4908.326,2095.0718,2323.6428,-4187.738,2415.2002,-4204.0747,-1825.5696,-301.63434,2466.0872,-4570.598,-1449.3494,-298.43796,2205.9573,-1206.84,-6908.6533,5358.4434,-4099.63,1469.7616,-7471.1123,2674.9207,-491.50458,-3150.496,3601.5002,-6600.67,-1299.0388,430.23,15.0,024A
1793.9724,-757.6943,-1955.2292,105.95567,127.10837,3072.888,-1086.278,-1203.1178,3746.1106,1253.9266,456.03662,36.601513,-302.2467,-273.52292,-253.3172,-2385.4902,-3571.6985,-3466.4143,-1609.6315,-2591.0334,-2166.6094,1755.9497,-1505.8092,1158.6953,-5092.253,-4209.654,-2301.8909,-4020.509,-1271.8276,607.4422,-1270.9702,-1717.1163,-2819.4539,-3292.194,-5266.2417,-1255.7858,855.0524,539.5236,1963.0651,-443.89066,-3866.6426,-382.7085,-751.05676,666.4648,-2102.7065,737.634,-5528.8535,-3288.539,1067.1019,-2997.9294,-1453.4097,-1004.7052,1402.8115,3453.2595,-3458.9832,-1452.1632,-4201.575,607.849,-594.78973,-3040.2021,-468.91586,106.11003,2574.4993,429.027,-1610.0094,-763.75995,-1159.8293,-1143.7727,-2192.1604,-1677.3843,-3838.9211,508.71194,1055.1349,1415.3445,-822.5336,-1863.2478,992.8,-3834.3313,-2575.948,-4738.8804,-1648.0486,-2450.5425,1932.6234,1343.4751,-849.3536,-3419.1765,-1525.9388,-3593.5415,-720.26276,-4799.441,1166.9923,-3646.8635,1000.1567,-3205.3455,-3848.5222,-3759.719,-1002.3493,803.3698,217.96051,-1604.8396,-731.32544,-2529.921,-1474.8174,-2808.7651,1194.6821,1347.7211,-2405.7986,1378.8716,-2412.6162,-1035.7356,-183.8728,1458.3687,-2607.38,-817.1318,-195.94025,1240.9694,-671.7705,-3926.794,3061.4688,-2346.0183,854.8157,-4255.768,1582.0933,-295.8288,-1812.3297,2125.8723,-3799.1658,-703.68036,532.92,14.0,051A
2245.1,-959.5346,-2397.9648,143.14516,104.839584,3830.1472,-1346.09,-1495.0289,4715.883,1591.5781,577.4574,33.26338,-380.29105,-284.75415,-310.72656,-2912.1833,-4505.0396,-4283.4155,-2027.0962,-3163.3352,-2727.8064,2213.8657,-1883.1604,1395.8965,-6398.6904,-5245.7593,-2889.053,-4914.549,-1510.8911,755.1696,-1594.0363,-2061.6353,-3487.717,-4119.919,-6647.4795,-1542.0759,1178.9015,660.5129,2432.0342,-531.9334,-4792.03,-475.95694,-922.73804,822.85565,-2571.7537,903.3849,-6959.786,-4181.7334,1358.4158,-3716.473,-1825.5906,-1222.3354,1750.3379,4320.395,-4328.2896,-1770.8275,-5269.7812,769.3717,-795.617,-3816.2273,-632.6474,135.52576,3277.7842,532.7772,-2049.342,-951.55664,-1382.388,-1396.3909,-2818.1296,-2057.3276,-4819.358,622.70483,1278.1738,1739.4097,-1120.8297,-2265.6958,1247.9929,-4680.9297,-3225.387,-5905.7476,-2115.856,-3069.0146,2395.7366,1652.7896,-1025.8788,-4252.4424,-1884.0609,-4527.7656,-885.4159,-5948.6973,1444.8102,-4539.956,1213.2869,-3985.4858,-4768.0684,-4605.1577,-1177.7067,1024.7477,308.04413,-2053.7214,-891.95557,-3190.051,-1833.2787,-3478.0571,1487.9275,1691.5012,-2916.5793,1694.3445,-2965.4465,-1237.3396,-221.98822,1861.4114,-3238.9133,-977.7024,-236.79034,1540.8795,-788.1836,-4924.6724,3813.1274,-2903.8362,1068.0862,-5287.6343,1921.5157,-349.2661,-2225.5017,2612.0637,-4748.094,-846.1202,901.54,0.5,022A
2332.5098,-992.422,-2520.1365,159.19386,158.66626,3984.6873,-1390.7124,-1525.1726,4864.6436,1650.2417,629.8995,17.05196,-394.02795,-339.75748,-325.31952,-3070.2822,-4630.7764,-4476.0854,-2098.7593,-3369.9148,-2802.4712,2246.6763,-1976.9536,1462.8857,-6581.55,-5421.271,-2980.271,-5142.055,-1582.2004,760.7958,-1668.3766,-2132.3345,-3622.6877,-4295.4414,-6824.783,-1614.078,1162.6675,699.5394,2532.087,-621.546,-4996.3984,-529.3866,-973.80615,812.3886,-2705.5608,959.6242,-7161.8936,-4292.201,1383.8992,-3901.699,-1844.7866,-1295.6101,1829.2745,4491.6636,-4479.31,-1889.9008,-5454.074,819.90283,-758.16144,-3957.51,-597.16547,159.96077,3411.703,558.3921,-2136.456,-985.91547,-1471.0509,-1510.6674,-2832.1877,-2148.6638,-4961.6724,666.6189,1361.5042,1814.4287,-1133.3961,-2386.7585,1296.582,-4892.5547,-3348.6057,-6136.5654,-2181.0034,-3162.4246,2520.423,1721.4655,-1037.0206,-4405.934,-1953.6729,-4640.2144,-933.695,-6217.8955,1511.2418,-4737.6216,1305.4596,-4160.2803,-4932.344,-4829.8223,-1214.4473,1055.7834,322.93668,-2115.8408,-921.1568,-3314.0623,-1869.3268,-3588.316,1540.9724,1728.176,-3050.3416,1786.7743,-3117.0688,-1317.0162,-233.67285,1903.4224,-3387.463,-1049.3577,-250.63608,1633.0697,-870.08514,-5142.9653,3958.6147,-2974.7708,1099.1953,-5492.9556,2002.2173,-354.99454,-2309.7693,2727.156,-4935.5576,-925.90155,451.87,16.0,058A
2820.746,-1156.4626,-3098.8718,156.4895,172.11871,4882.9995,-1709.4503,-1860.3239,5988.0396,2016.6685,798.6342,106.12025,-503.7983,-462.83728,-311.4399,-3828.2212,-5691.4204,-5459.273,-2633.773,-4034.1619,-3471.8162,2855.7175,-2375.6943,1727.8733,-8108.184,-6706.016,-3680.8938,-6338.9824,-1946.1111,979.75,-2000.485,-2703.52,-4512.009,-5311.9717,-8388.816,-1970.638,1426.1895,823.22845,3137.6934,-692.29193,-6077.988,-605.79767,-1194.5491,1060.3535,-3314.8865,1175.5916,-8827.493,-5312.165,1707.7554,-4756.2266,-2298.6348,-1622.9502,2223.3,5508.1313,-5551.7314,-2265.0747,-6670.9204,1008.9855,-972.9434,-4913.0835,-820.4693,120.13236,4078.6365,680.2667,-2558.2175,-1214.6398,-1919.8749,-1767.5132,-3465.5422,-2721.259,-6140.2275,807.9443,1665.5878,2229.4683,-1306.0663,-2981.1577,1554.3652,-6020.968,-4148.434,-7521.1216,-2684.856,-3953.0762,3071.654,2126.9875,-1376.9453,-5357.2075,-2350.6833,-5703.3726,-1067.1227,-7638.027,1832.4745,-5750.752,1598.6664,-5010.0938,-6060.8804,-5972.6846,-1571.349,1299.0742,363.79843,-2510.2053,-1120.8184,-4069.3057,-2354.5034,-4471.0576,1897.7526,2200.6018,-3707.5422,2135.6785,-3807.8928,-1629.6427,-323.56528,2342.6511,-4126.5767,-1302.0446,-341.4064,1981.1323,-999.1013,-6263.5186,4875.168,-3725.6328,1330.139,-6731.219,2505.2507,-512.38354,-2862.5054,3354.6497,-6052.2764,-1057.1055,1039.17,0.0,050A
2756.6765,-1175.8815,-2938.2524,189.96255,218.11946,4725.7163,-1648.5114,-1794.4291,5756.1133,1937.035,758.6866,19.598492,-455.0896,-407.2923,-374.04553,-3617.8813,-5409.469,-5289.8364,-2475.1326,-3991.862,-3274.9395,2631.907,-2350.6223,1735.5037,-7712.88,-6415.759,-3533.8655,-6095.0635,-1893.2603,917.0167,-1988.4166,-2498.149,-4260.2495,-5029.726,-8063.2285,-1919.5955,1371.186,830.83673,2991.166,-752.95215,-5891.3237,-632.3216,-1155.3875,946.6923,-3184.514,1101.8472,-8429.247,-5068.288,1635.9807,-4581.0254,-2155.276,-1551.5687,2165.807,5329.5938,-5282.093,-2246.2441,-6445.703,1002.36743,-845.55597,-4650.9854,-706.3183,213.28496,4030.3987,640.92444,-2499.5942,-1162.9792,-1740.3369,-1782.1096,-3346.6965,-2528.5388,-5865.2217,788.4335,1626.4519,2168.1462,-1345.4902,-2839.1204,1531.4641,-5763.054,-3941.2644,-7229.116,-2574.5513,-3729.0405,3011.6887,2036.4229,-1189.7546,-5218.639,-2304.4326,-5421.3203,-1102.7487,-7318.3125,1758.729,-5606.242,1551.6287,-4903.0845,-5793.1245,-5705.2495,-1419.3302,1274.4442,416.46252,-2511.6702,-1092.2622,-3920.3618,-2210.033,-4249.238,1830.1373,2044.3168,-3599.5005,2133.1663,-3689.177,-1562.2776,-257.95325,2277.0579,-3989.152,-1235.4585,-273.7556,1946.6824,-1048.8148,-6093.0977,4673.477,-3506.0945,1287.8795,-6509.3755,2352.2537,-412.56207,-2711.457,3229.5408,-5836.546,-1104.5311,460.31,16.0,058A
