0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,mean_freq,target,cat_id
2562.8206,-1086.7423,-2756.294,139.08517,238.61887,4382.9604,-1542.9764,-1690.4434,5308.041,1802.5975,606.3324,62.04636,-416.7045,-473.5562,-345.79263,-3404.8235,-5101.578,-4909.2725,-2305.9397,-3659.8875,-3024.9492,2504.7117,-2164.7693,1614.0435,-7140.186,-5981.4214,-3282.7727,-5689.3955,-1816.2507,821.509,-1807.0272,-2375.9639,-4030.0786,-4685.52,-7440.0444,-1776.8242,1158.3278,758.04407,2747.1567,-708.65765,-5448.5913,-575.7362,-1076.3093,901.1344,-2959.6257,1050.3918,-7790.8945,-4738.882,1528.1455,-4232.42,-2042.3179,-1512.06,2033.166,4883.7075,-4902.7563,-2079.5737,-5964.1846,811.6543,-813.6133,-4325.25,-614.14923,143.78757,3643.703,606.4161,-2307.0918,-1087.2638,-1717.6552,-1663.5162,-3117.2317,-2334.1506,-5420.3916,719.20886,1483.3557,2066.1245,-1194.635,-2719.7344,1410.0054,-5398.7915,-3616.891,-6690.013,-2359.3416,-3482.6323,2711.5974,1924.0747,-1161.9547,-4876.766,-2242.6562,-5101.6123,-991.8224,-6810.509,1611.601,-5179.9297,1426.9524,-4584.9917,-5417.4863,-5346.8193,-1399.6687,1167.9768,336.92877,-2297.7239,-1040.55,-3582.4746,-2102.2305,-3967.8538,1733.3987,1960.5349,-3399.1404,1953.8124,-3453.8022,-1447.8108,-279.94507,2074.0522,-3668.9949,-1204.4344,-331.3572,1755.5985,-994.667,-5595.7295,4311.689,-3273.527,1173.8579,-5985.103,2214.723,-430.82227,-2511.5046,3068.768,-5391.453,-1052.9962,401.15,16.0,057A
1959.4849,-827.4145,-2109.0225,133.17436,171.77357,3406.6501,-1185.8033,-1283.7743,4151.414,1394.1704,550.79584,15.216161,-314.43848,-328.38663,-257.2782,-2601.1355,-3911.7927,-3810.8274,-1775.5706,-2856.1858,-2345.0889,1932.0217,-1652.0659,1244.9127,-5513.5693,-4622.109,-2544.1624,-4359.671,-1369.9224,655.7225,-1419.8033,-1798.9375,-3102.2275,-3664.4622,-5789.325,-1374.1296,963.3695,570.4652,2151.6987,-562.2408,-4219.471,-409.30185,-846.19946,726.40375,-2270.054,803.30835,-6076.397,-3668.9204,1205.8113,-3310.0417,-1561.425,-1153.2029,1555.7026,3819.3953,-3787.1934,-1619.1403,-4635.5273,689.228,-637.2371,-3365.362,-511.58047,136.87003,2871.5774,477.0934,-1782.5228,-841.4236,-1294.2308,-1306.6062,-2416.0178,-1823.074,-4221.5654,560.212,1159.3752,1589.3643,-933.32056,-2070.1382,1101.5801,-4134.7686,-2830.331,-5176.3467,-1872.0664,-2709.3652,2137.508,1465.3688,-901.4347,-3772.1035,-1704.9016,-3916.189,-796.60803,-5262.7563,1266.329,-4015.6091,1139.9558,-3536.963,-4175.1924,-4127.8125,-1024.8129,935.64166,294.53522,-1807.111,-793.75476,-2800.4675,-1623.9325,-3086.8408,1335.8684,1491.9911,-2584.1416,1531.7246,-2646.4365,-1092.2819,-199.5786,1609.915,-2866.7258,-906.2683,-218.00195,1402.9462,-755.88446,-4370.2236,3375.8408,-2536.8118,919.3,-4643.119,1681.6499,-322.3552,-1953.6526,2326.426,-4180.8213,-795.18774,355.19,16.0,057A
2844.1638,-1252.6439,-3006.0918,125.6712,152.99368,4822.3525,-1665.1309,-1954.7513,5968.8525,1992.8708,726.0771,46.62586,-505.42123,-404.95163,-398.62524,-3728.8145,-5722.4736,-5442.5024,-2595.7366,-3930.0098,-3415.808,2859.8193,-2357.402,1748.8508,-8095.4985,-6723.6,-3560.2954,-6257.1533,-1995.4653,953.9055,-2029.2495,-2672.5383,-4457.382,-5225.135,-8367.222,-1959.0183,1394.4944,833.65204,3044.3047,-693.4292,-6098.7856,-604.6703,-1176.7858,1049.6184,-3349.5933,1182.1952,-8809.825,-5307.7188,1678.7651,-4796.21,-2293.916,-1634.2993,2187.9773,5458.7495,-5491.775,-2287.6108,-6731.78,901.08734,-1029.9387,-4845.793,-782.46497,238.77614,4118.37,684.14185,-2597.235,-1217.9136,-1819.3531,-1911.112,-3572.611,-2573.775,-6081.568,792.17175,1606.3804,2253.303,-1401.1188,-2978.6587,1617.9231,-6036.765,-4043.987,-7524.943,-2681.1,-3899.5757,2974.134,2125.3203,-1390.8226,-5436.596,-2502.6074,-5743.169,-1163.5027,-7588.1924,1782.7506,-5803.233,1631.3948,-5065.6807,-6055.9395,-5855.889,-1539.398,1275.4225,351.87,-2521.7441,-1153.2139,-4126.3086,-2337.8918,-4481.0264,1867.102,2152.9924,-3817.568,2184.5383,-3780.6406,-1625.6509,-304.17865,2240.119,-4129.2236,-1255.2803,-369.24945,1903.6765,-1076.9419,-6283.384,4816.7085,-3682.0642,1348.3295,-6715.4106,2461.3562,-426.1265,-2868.289,3366.4807,-5982.0107,-1064.6984,311.99,17.0,011A
1514.203,-632.6944,-1692.6635,109.23448,103.966156,2696.337,-923.4095,-1028.9664,3325.2651,1100.6613,468.21945,83.06275,-267.95483,-185.39555,-175.41685,-2058.1372,-3147.8298,-3038.4707,-1400.5454,-2230.4539,-1873.1948,1550.7389,-1273.4777,979.1455,-4434.745,-3649.5715,-2026.4943,-3457.6638,-1057.7776,533.82245,-1118.896,-1475.1058,-2468.3901,-2950.5896,-4600.008,-1078.4777,825.60583,458.22717,1728.7421,-387.9849,-3356.9019,-284.09357,-672.33344,589.50604,-1835.49,631.4283,-4838.202,-2839.5605,986.1562,-2657.1848,-1281.0671,-880.58453,1216.7177,3048.0383,-3009.3105,-1264.715,-3641.9622,558.8094,-551.7768,-2655.5742,-422.96075,101.98785,2323.6917,369.15112,-1384.4583,-667.83826,-1003.9883,-1051.5435,-1904.2678,-1474.7654,-3358.158,462.82642,909.8238,1249.8511,-753.1199,-1636.7169,881.30554,-3281.9263,-2292.318,-4104.014,-1452.8495,-2144.379,1690.246,1151.0094,-746.2013,-2955.6973,-1320.2643,-3144.1575,-639.2936,-4168.2593,1048.7001,-3165.132,904.49567,-2788.9194,-3267.6052,-3257.246,-864.3535,754.9926,215.46144,-1388.2244,-657.4886,-2255.4792,-1286.9025,-2495.2725,1036.0839,1199.8241,-2056.9563,1211.4448,-2088.2373,-860.52765,-174.14154,1278.5574,-2209.3743,-684.35516,-107.41722,1110.1782,-540.65283,-3431.1252,2711.742,-2017.4642,737.73785,-3708.952,1363.5493,-236.70915,-1585.9114,1834.3342,-3324.359,-588.0332,393.0,17.0,097A
2156.659,-940.66534,-2296.577,141.73662,116.03108,3705.0688,-1278.2681,-1461.3054,4581.3145,1515.3807,626.8045,62.344124,-367.89722,-250.75269,-280.03378,-2807.9062,-4393.0957,-4146.779,-1942.2108,-3068.2173,-2600.2522,2163.5134,-1832.1023,1363.3978,-6172.26,-5125.476,-2729.2893,-4766.5684,-1480.03,733.10376,-1543.6445,-2022.6155,-3363.1763,-4008.9668,-6445.2236,-1513.6155,1103.99,642.7411,2356.3157,-549.3489,-4634.4697,-453.51477,-870.6217,821.63763,-2547.4436,893.9304,-6719.3193,-3985.3923,1266.9851,-3641.9246,-1739.6007,-1210.4545,1678.9753,4173.739,-4189.088,-1763.4703,-5106.167,743.49036,-771.0246,-3681.3542,-576.6122,155.50587,3198.1082,551.6443,-2001.398,-926.5374,-1354.4207,-1439.8738,-2729.9011,-1980.6506,-4648.7827,639.0062,1240.5103,1696.7539,-1078.8597,-2201.1455,1190.0397,-4636.3135,-3138.3054,-5712.3555,-2048.0908,-2994.2432,2320.5608,1612.1265,-1006.6351,-4110.272,-1822.5522,-4402.1577,-887.6116,-5797.201,1384.3519,-4376.28,1224.4878,-3835.955,-4638.8066,-4461.3135,-1147.5804,973.57324,301.51086,-1977.4137,-892.0171,-3118.1013,-1751.4413,-3379.5146,1438.4465,1618.8549,-2853.2976,1637.5576,-2892.1077,-1217.6531,-219.80403,1764.1718,-3145.3718,-978.63715,-232.79062,1475.5253,-798.60376,-4777.231,3697.3574,-2806.549,1052.5853,-5139.856,1871.1133,-353.5569,-2158.1826,2493.7288,-4601.3647,-844.249,489.04,2.0,000B
1754.8198,-741.65283,-1945.2523,97.49455,133.22389,3071.634,-1051.5946,-1204.2406,3770.0137,1261.2759,527.86176,83.570526,-304.72156,-288.36884,-211.55067,-2383.8276,-3560.2415,-3452.2568,-1644.5332,-2581.045,-2139.3628,1792.6608,-1501.7859,1098.1506,-5040.855,-4200.4087,-2273.6292,-3951.5046,-1237.048,631.58905,-1257.1885,-1686.0381,-2814.625,-3380.2732,-5237.456,-1263.4883,888.3069,510.5082,1969.2001,-451.15994,-3840.7246,-383.8517,-811.68835,639.43,-2052.0942,736.7216,-5540.6787,-3317.9436,1071.5653,-3029.7092,-1444.0177,-1058.094,1388.5942,3464.8857,-3450.839,-1463.7924,-4195.9805,642.0878,-607.5885,-3077.8696,-511.96603,112.156845,2590.2957,433.5592,-1613.0634,-765.1243,-1161.5856,-1172.5087,-2182.2263,-1697.938,-3832.555,519.9354,1055.0208,1424.5211,-840.86414,-1871.8971,1000.2554,-3786.5503,-2596.2937,-4699.9365,-1679.146,-2469.3157,1941.479,1348.5054,-864.3903,-3410.801,-1494.279,-3544.4307,-706.8038,-4790.5723,1168.5297,-3635.1482,1044.2898,-3152.4963,-3799.1492,-3729.2744,-977.70306,836.7647,250.8179,-1590.8168,-727.29034,-2560.6582,-1482.3302,-2844.3442,1195.6257,1359.1849,-2346.615,1360.9073,-2417.0293,-1027.6693,-196.22874,1422.9283,-2587.113,-812.03973,-193.28207,1272.6055,-637.7468,-3952.2952,3068.6938,-2352.3945,834.5012,-4235.745,1547.4684,-322.24295,-1797.7423,2096.11,-3771.3828,-686.46515,371.99,17.0,097A
3176.8184,-1413.3239,-3516.2124,141.09409,281.17538,5583.44,-1952.1792,-2147.209,6778.129,2273.086,929.763,19.334507,-554.7072,-570.59296,-465.875,-4318.6724,-6491.789,-6302.98,-2989.5793,-4713.392,-3802.523,3119.98,-2745.4912,2054.3499,-9129.875,-7636.1323,-4108.1494,-7298.2676,-2286.0698,1101.868,-2324.6267,-3066.6982,-5059.635,-5981.3496,-9572.277,-2282.245,1521.333,941.8901,3585.7847,-895.93146,-6938.894,-781.0581,-1327.7338,1005.04095,-3869.4885,1326.1876,-9998.798,-6028.003,1848.325,-5479.5967,-2548.8608,-1927.1523,2567.4006,6235.7026,-6292.488,-2673.475,-7632.7754,1106.2794,-986.34125,-5569.874,-784.32007,244.83499,4685.818,843.7894,-2952.9492,-1388.7435,-2178.088,-2207.6633,-3979.5396,-3001.9236,-6865.1494,905.5708,1899.2399,2592.7192,-1570.0859,-3501.2964,1808.82,-6915.0527,-4602.924,-8558.386,-2995.3137,-4484.548,3494.6814,2411.2502,-1458.7611,-6253.53,-2801.928,-6517.268,-1360.6329,-8652.435,2098.7969,-6725.541,1828.0659,-5774.696,-7001.863,-6774.2666,-1777.0073,1441.9099,444.18243,-2975.9167,-1312.9795,-4697.896,-2700.7754,-5080.867,2209.3684,2436.0032,-4353.9214,2560.0723,-4375.638,-1888.1947,-344.7441,2568.6294,-4782.2954,-1539.4459,-364.2636,2229.7058,-1262.4227,-7184.0776,5553.8193,-4242.6934,1535.5822,-7728.1514,2838.6995,-533.9719,-3271.3723,3833.403,-6812.6523,-1363.9054,351.96,18.0,059A
3480.6562,-1520.8131,-3695.0005,200.56607,172.0742,5950.7812,-2088.3733,-2305.7522,7307.042,2468.3232,955.4826,39.89063,-580.295,-431.07724,-480.8142,-4536.3867,-7037.439,-6645.8374,-3164.729,-4970.68,-4193.5176,3384.2366,-2940.6475,2205.538,-9904.605,-8129.9463,-4427.2617,-7654.466,-2396.8286,1195.0803,-2433.6597,-3222.3525,-5344.3364,-6344.6963,-10360.97,-2433.4795,1737.6963,1056.2289,3770.5525,-889.45374,-7410.9497,-773.64935,-1405.7708,1254.4373,-4075.3625,1381.6823,-10735.236,-6418.4897,2023.6415,-5759.052,-2839.0422,-1937.8188,2744.1409,6662.8013,-6694.885,-2754.9739,-8172.709,1222.878,-1167.095,-5901.2812,-900.66016,263.55716,5087.7666,875.5198,-3187.007,-1474.5216,-2174.8696,-2214.6008,-4328.2773,-3164.5403,-7427.4136,981.03235,2004.6875,2743.9543,-1729.77,-3523.7937,1930.0789,-7371.27,-4984.442,-9174.049,-3264.581,-4776.0264,3750.444,2582.4685,-1544.9415,-6629.5107,-2908.2427,-6991.1714,-1408.2142,-9269.453,2256.8494,-7091.6494,1896.7354,-6135.514,-7426.301,-7163.955,-1811.2308,1543.402,489.92328,-3208.0115,-1390.7766,-4988.5576,-2837.9526,-5395.22,2347.689,2580.284,-4561.4062,2634.3677,-4652.9155,-1995.0438,-326.19983,2853.5217,-5069.2974,-1587.662,-369.45132,2392.453,-1301.3004,-7634.2915,5914.3916,-4478.0796,1681.7589,-8290.849,2975.6104,-581.318,-3466.6243,4050.3145,-7402.774,-1426.7792,696.71,0.0,046A
2798.1772,-1291.0273,-3062.7798,128.19772,127.81923,4916.053,-1698.341,-1901.4783,6090.887,2103.6416,903.6878,39.344357,-538.99664,-393.58572,-397.81622,-3795.8887,-5857.335,-5512.063,-2700.7708,-4122.571,-3469.0923,2775.6409,-2391.0537,1744.2896,-8321.492,-6746.054,-3619.2283,-6375.8936,-1959.492,1004.0344,-2020.095,-2697.5269,-4468.2046,-5297.888,-8621.477,-1998.4282,1474.9714,820.8683,3223.6055,-744.4506,-6202.528,-659.0112,-1203.2439,981.55994,-3428.3904,1144.6016,-8968.345,-5372.973,1648.808,-4909.487,-2325.469,-1640.9194,2251.8743,5585.703,-5642.7085,-2269.983,-6753.578,1027.3131,-981.8725,-5012.381,-776.2946,245.85492,4194.1035,749.0608,-2604.821,-1232.2274,-1830.6362,-1914.9209,-3531.6946,-2719.9124,-6164.724,850.4272,1660.0872,2234.243,-1413.429,-2988.9597,1601.459,-6053.9873,-4154.408,-7579.7036,-2726.692,-3984.7542,3146.4036,2099.5361,-1317.5095,-5472.686,-2397.022,-5795.374,-1183.5161,-7646.8657,1919.6023,-5988.961,1573.7163,-5063.4053,-6225.089,-5990.701,-1560.8551,1290.2559,400.59738,-2629.6116,-1121.4631,-4251.405,-2377.9126,-4529.5034,1929.4604,2135.7874,-3822.6606,2192.2058,-3848.3972,-1680.0333,-286.20404,2264.7156,-4255.939,-1357.0979,-277.34787,2019.167,-1070.9011,-6372.867,4956.1357,-3846.3096,1407.4495,-6883.9956,2470.5942,-475.05685,-2984.6646,3297.0952,-6099.72,-1124.008,688.93,13.0,016A
2667.4927,-1160.93,-3003.6733,91.289154,262.71344,4691.4624,-1680.023,-1822.0374,5676.628,1926.0284,738.9502,132.30168,-467.8723,-554.65717,-385.09998,-3724.6213,-5386.4097,-5355.3936,-2608.4297,-4015.9324,-3207.6235,2701.7385,-2213.9546,1658.9775,-7633.093,-6448.57,-3458.7292,-6104.63,-1967.1858,952.5748,-1904.6445,-2612.4712,-4335.0317,-5117.556,-7918.552,-1947.1599,1230.7539,752.35754,2997.1572,-742.20953,-5838.902,-627.2166,-1234.9592,870.1045,-3235.4812,1119.2512,-8413.673,-5069.419,1549.687,-4647.3696,-2196.1155,-1697.0032,2158.1365,5200.3384,-5300.304,-2247.1355,-6431.5405,917.1462,-889.4024,-4742.5376,-740.8743,129.88416,3852.761,675.35376,-2476.4988,-1173.804,-1906.858,-1847.8088,-3317.795,-2610.5286,-5761.9585,759.88855,1552.2659,2157.1223,-1293.8596,-2967.6377,1514.9827,-5819.49,-3927.9604,-7214.028,-2492.7434,-3782.0415,2904.8535,2056.6838,-1267.2046,-5266.207,-2359.3638,-5435.743,-1082.7405,-7332.374,1778.2306,-5698.951,1589.6099,-4852.029,-5932.9233,-5788.913,-1572.6393,1227.8907,335.1315,-2475.8118,-1108.7578,-3918.6472,-2290.1038,-4334.4365,1845.4059,2113.3123,-3673.1924,2153.851,-3727.3887,-1608.4689,-298.7348,2089.7644,-4014.7646,-1340.8679,-338.92834,1913.8813,-1041.8936,-6056.55,4637.6753,-3589.6199,1283.6462,-6438.3623,2420.717,-558.1657,-2796.3096,3236.7417,-5730.641,-1107.9617,362.86,18.0,059A
