0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,gender,target,cat_id
5389.533,-2337.1995,-5889.1333,374.00748,318.81235,9333.935,-3344.3032,-3362.731,11421.392,3879.7773,1678.2601,41.798237,-941.42523,-934.2449,-861.9251,-7189.4907,-10914.677,-10470.799,-5014.626,-8041.302,-6634.1587,5180.0435,-4457.314,3288.7085,-15440.934,-12670.279,-7271.828,-12287.459,-3730.1914,1831.5302,-3884.0686,-4954.921,-8337.06,-9996.152,-16142.221,-3841.3525,2860.3167,1617.3324,6004.6484,-1416.6661,-11634.276,-1267.3245,-2191.0085,1837.9078,-6210.512,2190.1619,-17046.896,-10314.431,3298.3171,-8933.7295,-4611.5776,-3039.2913,4204.3276,10507.707,-10398.411,-4317.635,-12714.82,2113.0361,-1699.152,-9142.89,-1680.1119,382.78497,7992.0195,1364.4811,-5189.0884,-2314.8225,-3403.0295,-3272.9724,-6697.514,-5161.92,-11918.981,1592.8306,3220.8396,4089.2583,-2833.8928,-5585.116,3013.3103,-11376.652,-7851.3345,-14283.95,-5207.7456,-7456.7935,5993.059,3990.7148,-2282.34,-10504.686,-4448.1577,-10829.676,-2108.7644,-14283.241,3664.71,-11223.782,2987.597,-9586.656,-11535.877,-11050.396,-2908.829,2585.4875,806.61914,-4979.8315,-1991.6584,-7878.0757,-4599.076,-8458.208,3689.9148,4124.0854,-6977.5493,4138.76,-7284.807,-3096.3057,-505.2209,4519.923,-7898.288,-2520.6538,-445.39047,3888.7217,-1905.2471,-12214.475,9227.015,-7192.9863,2447.084,-12969.535,4580.231,-862.01013,-5482.96,6323.103,-11734.7,-2160.689,M,2.0,006A
5042.1865,-2225.7532,-5438.4424,288.04636,255.52992,8733.29,-3133.1135,-3189.1973,10735.965,3688.2712,1596.9681,-4.1857257,-925.47614,-865.83276,-789.11975,-6737.986,-10349.745,-9812.789,-4817.525,-7472.249,-6281.646,4885.0264,-4209.417,3039.4468,-14642.279,-11920.378,-6753.803,-11522.919,-3598.5132,1718.019,-3704.3127,-4573.0903,-7848.74,-9393.0625,-15339.113,-3531.3728,2691.492,1504.0295,5661.615,-1378.6936,-10896.829,-1207.5127,-2079.6821,1604.0826,-5815.7783,2096.5864,-16054.69,-9811.981,3048.3376,-8543.543,-4329.7456,-2870.6277,3936.1348,9877.874,-9858.125,-4014.8408,-12001.531,1989.5876,-1633.9972,-8631.282,-1585.5199,475.93695,7586.513,1316.2943,-4890.112,-2179.483,-3222.0713,-3161.032,-6287.0454,-4842.2983,-11146.214,1550.2666,2991.6968,3899.7832,-2759.8381,-5313.938,2828.8813,-10650.786,-7343.85,-13457.774,-5006.1416,-7063.4785,5609.629,3724.5935,-2116.5398,-9855.546,-4217.895,-10257.369,-2009.9044,-13450.38,3429.967,-10583.685,2839.5288,-9045.634,-10874.211,-10335.213,-2652.184,2425.5754,779.568,-4753.994,-1884.2139,-7480.572,-4304.899,-7984.9907,3475.3638,3867.8572,-6559.615,3928.7412,-6807.266,-2858.0503,-475.6457,4156.126,-7441.5024,-2341.7139,-464.6857,3628.6045,-1777.4805,-11564.98,8674.628,-6692.7217,2349.3372,-12192.068,4289.8076,-802.8773,-5168.112,5929.3726,-11046.889,-2021.8883,F,5.0,000A
4749.5713,-1995.0481,-5218.8145,320.12817,249.03209,8274.784,-2894.4075,-2986.601,10130.719,3480.6726,1520.0315,131.22247,-847.34454,-799.9443,-716.3087,-6414.2515,-9709.113,-9252.736,-4556.177,-6985.2393,-5935.683,4675.3125,-3908.1743,2880.4946,-13867.668,-11228.213,-6424.963,-10802.2,-3336.5916,1677.3125,-3366.0671,-4430.587,-7532.465,-8929.217,-14399.857,-3334.6987,2558.5251,1370.6973,5365.8447,-1232.0752,-10290.381,-1100.6177,-2041.8591,1651.0747,-5436.052,2024.9486,-15124.811,-9209.022,2922.151,-7970.7295,-4053.539,-2717.131,3730.8079,9342.253,-9310.514,-3814.9456,-11377.848,1895.1382,-1601.6234,-8246.736,-1497.8948,349.91275,7071.4453,1257.5817,-4545.3755,-2050.5088,-3097.4683,-2932.344,-5913.2876,-4627.4893,-10532.383,1412.9741,2853.4756,3644.5723,-2444.7803,-5013.1816,2652.7478,-10059.906,-6975.657,-12707.3125,-4709.4844,-6637.4336,5300.258,3569.207,-2082.8352,-9222.822,-3955.3481,-9632.938,-1812.1344,-12686.422,3235.0435,-9940.915,2606.327,-8491.848,-10246.539,-9843.3545,-2552.4395,2283.1643,723.01917,-4420.903,-1786.2686,-6957.1724,-4144.022,-7558.4893,3314.443,3728.1848,-6163.5083,3665.0735,-6398.565,-2702.6414,-488.81982,4009.8203,-7000.3384,-2210.1682,-460.00363,3477.0405,-1586.975,-10771.107,8249.425,-6380.2974,2235.885,-11456.181,4184.0225,-759.00287,-4871.018,5643.26,-10410.03,-1838.7809,X,0.0,044A
4021.3008,-1698.3367,-4458.415,267.00095,198.24953,7010.6074,-2432.1301,-2538.3438,8636.562,2933.6272,1357.1652,114.7573,-717.7238,-713.5216,-498.84155,-5467.7495,-8270.909,-7893.726,-3921.826,-5952.0527,-5047.513,4040.028,-3282.354,2429.8499,-11715.742,-9470.446,-5491.108,-9206.63,-2873.714,1409.7957,-2855.9055,-3761.4277,-6352.2676,-7656.302,-12173.009,-2799.3652,2195.3962,1133.347,4553.743,-1031.9681,-8789.805,-881.0199,-1710.9727,1459.9692,-4572.8066,1683.1515,-12920.677,-7729.325,2511.4626,-6838.7314,-3461.7637,-2316.565,3139.181,7912.563,-7943.714,-3200.1719,-9591.926,1620.0671,-1442.4679,-7056.681,-1334.2162,268.81378,6036.1743,1082.413,-3830.5674,-1742.8335,-2621.5205,-2483.6626,-5024.7505,-3952.8086,-8984.398,1182.6321,2410.272,3074.8477,-2096.6255,-4232.8857,2301.0054,-8640.556,-5951.927,-10855.865,-3988.2373,-5684.6855,4480.147,3046.202,-1821.2424,-7784.5205,-3331.938,-8237.709,-1534.953,-10782.398,2775.1624,-8395.987,2326.8357,-7116.202,-8721.988,-8405.304,-2215.258,1992.2125,593.75476,-3686.5603,-1534.8662,-5936.969,-3513.8645,-6487.784,2821.5144,3159.906,-5221.136,3099.1438,-5466.0903,-2284.6506,-430.75702,3364.6514,-5931.043,-1847.5198,-413.92563,2913.9487,-1331.329,-9184.325,7018.3843,-5402.0176,1896.7559,-9686.992,3505.3792,-691.7649,-4180.708,4772.452,-8805.838,-1540.7881,X,0.0,014B
5251.164,-2266.1113,-5671.7676,325.63293,317.4108,9043.131,-3244.1006,-3260.2947,11046.029,3744.2886,1602.732,49.656635,-887.2214,-941.55054,-882.9136,-6919.5483,-10591.736,-10110.044,-4872.6475,-7785.1875,-6472.913,5071.7456,-4322.269,3148.5356,-14994.242,-12299.243,-7002.6997,-11856.23,-3658.2969,1746.3566,-3795.0364,-4713.7646,-8059.002,-9689.486,-15696.391,-3657.3667,2736.635,1603.3434,5792.2773,-1396.2717,-11194.603,-1262.5133,-2128.1804,1716.7859,-5963.025,2186.69,-16503.38,-10050.894,3111.7727,-8682.114,-4443.344,-2966.6487,4061.8923,10182.764,-10108.474,-4175.7397,-12390.68,2022.024,-1681.7433,-8881.168,-1590.6304,428.2628,7837.373,1342.9594,-5004.502,-2242.4736,-3325.4817,-3230.5725,-6476.362,-4970.945,-11469.074,1583.1863,3112.9224,3986.0293,-2842.6768,-5429.9766,2947.1565,-11108.075,-7551.527,-13861.893,-5117.3066,-7234.884,5774.6777,3896.283,-2147.8013,-10221.012,-4315.855,-10538.766,-2069.5198,-13886.107,3521.08,-10891.054,2947.3303,-9290.134,-11177.979,-10576.168,-2783.6812,2544.158,823.9795,-4864.743,-1951.5471,-7591.6167,-4395.778,-8194.642,3577.2122,3994.9866,-6718.012,4028.5955,-6969.764,-2967.6611,-507.72272,4355.19,-7644.5444,-2439.3413,-453.775,3745.9858,-1805.4545,-11822.541,8925.553,-6819.104,2400.3604,-12531.184,4427.687,-801.0355,-5257.107,6158.466,-11350.875,-2059.1135,F,5.0,000A
6252.546,-2659.3103,-6763.2734,357.72278,353.0552,10818.594,-3904.1135,-4017.134,13250.014,4474.3037,1964.6173,34.264652,-1095.9718,-1012.0632,-1088.3788,-8247.884,-12658.594,-12111.946,-5904.5137,-9330.655,-7819.4,6115.1484,-5180.918,3780.5398,-17849.84,-14713.285,-8350.952,-14181.836,-4438.306,2155.7898,-4411.566,-5651.893,-9662.619,-11732.164,-18796.34,-4467.0156,3354.4258,1854.6635,6880.5244,-1721.0298,-13506.132,-1518.2164,-2590.1418,2180.905,-7316.8096,2535.0098,-19782.076,-11923.099,3698.4817,-10372.603,-5294.899,-3509.287,4832.485,12143.904,-12116.933,-5070.756,-14833.371,2438.1692,-2038.8883,-10665.467,-1949.4867,532.3113,9446.189,1641.5839,-6033.4873,-2687.222,-3887.3896,-4014.0442,-7742.8003,-5947.928,-13757.647,1858.525,3647.4424,4749.068,-3379.6687,-6525.6934,3484.353,-13269.524,-9150.339,-16662.33,-6147.966,-8626.814,6951.4023,4640.8223,-2659.0315,-12258.685,-5121.8677,-12562.566,-2483.446,-16691.223,4194.8857,-13077.633,3594.6982,-11102.63,-13422.553,-12797.294,-3317.1313,3000.9478,970.2459,-5884.8755,-2411.856,-9126.489,-5322.0576,-9857.179,4246.1245,4738.0,-8112.5776,4806.3867,-8491.009,-3551.0667,-575.8401,5127.8086,-9283.202,-2880.709,-522.24316,4481.9297,-2239.7715,-14222.343,10696.999,-8177.333,2946.7659,-15026.494,5265.575,-972.61084,-6272.171,7330.5303,-13547.959,-2491.4812,M,6.0,033A
6327.885,-2682.096,-6878.305,397.96924,273.02884,10867.438,-3913.8403,-4050.734,13330.251,4524.1006,1873.0197,137.21695,-1121.715,-1001.2984,-947.0136,-8447.596,-12751.747,-12251.85,-5983.504,-9218.101,-7775.5664,6230.8525,-5189.8896,3821.298,-18042.104,-14824.881,-8506.314,-14249.532,-4382.7354,2265.6582,-4451.024,-5868.589,-9856.946,-11733.088,-18901.533,-4450.0576,3328.3792,1846.3368,6955.5117,-1600.3292,-13603.61,-1364.8109,-2624.8743,2292.4302,-7206.1807,2572.638,-19925.377,-12148.325,3834.7698,-10457.341,-5455.5874,-3531.0994,4913.03,12156.3545,-12239.772,-4994.947,-14952.098,2380.7734,-2155.3423,-10786.731,-2043.3809,400.61646,9283.649,1633.4764,-6084.6357,-2702.7266,-3967.4797,-3749.4573,-7908.5327,-6038.9463,-13954.83,1779.3201,3672.9463,4791.5176,-3244.3052,-6519.9883,3520.416,-13247.899,-9200.785,-16808.678,-6175.6963,-8670.009,6935.0625,4672.653,-2770.1838,-12241.277,-5243.1406,-12654.73,-2365.029,-16721.812,4206.8237,-13079.888,3465.531,-11246.857,-13501.072,-12942.646,-3424.3794,2984.9758,840.2755,-5852.9937,-2316.5283,-9153.06,-5436.779,-9950.185,4295.396,4916.854,-8193.385,4775.2324,-8505.562,-3617.909,-640.2614,5222.728,-9221.161,-2850.6138,-653.9368,4480.592,-2208.867,-14149.248,10747.895,-8342.488,2918.4692,-15048.929,5369.1016,-1075.0648,-6424.599,7452.9824,-13668.298,-2513.3245,X,0.0,111A
6941.505,-3047.0203,-7585.28,455.935,370.6952,11921.742,-4280.083,-4378.3765,14552.908,4908.439,2102.8167,137.5617,-1194.5192,-1180.0735,-1099.4197,-9196.684,-13958.007,-13414.155,-6435.343,-10351.8,-8501.711,6698.668,-5756.0127,4220.0874,-19796.068,-16285.954,-9248.2705,-15595.013,-4823.9414,2272.508,-4955.797,-6339.918,-10648.269,-12792.154,-20642.686,-4890.2983,3654.6926,2128.7249,7635.038,-1790.6482,-14825.899,-1645.6116,-2785.7842,2329.464,-7950.695,2796.3696,-21763.488,-13096.917,4116.0303,-11463.5625,-5839.9995,-3852.6323,5335.4937,13406.131,-13338.996,-5479.3296,-16287.136,2621.2378,-2275.3289,-11786.145,-2078.3474,484.5196,10307.569,1769.2511,-6599.564,-2955.9531,-4327.7603,-4279.664,-8529.83,-6554.3403,-15135.271,2036.2991,4105.969,5224.1777,-3700.2144,-7150.073,3910.004,-14736.138,-10026.366,-18346.389,-6657.304,-9527.6455,7608.355,5114.483,-2856.385,-13457.63,-5635.2417,-13910.199,-2714.4067,-18346.342,4689.2866,-14386.499,3854.9006,-12216.651,-14786.505,-14045.331,-3714.3682,3298.8015,1033.3853,-6396.337,-2609.7012,-9998.419,-5797.2505,-10876.984,4725.044,5216.5596,-8888.227,5304.018,-9291.663,-3971.778,-705.03925,5766.9272,-10134.454,-3245.6245,-600.95593,4951.446,-2414.648,-15528.658,11780.562,-9067.674,3166.3945,-16633.805,5848.4883,-1073.8531,-6984.5,8122.1216,-14979.788,-2753.8672,X,14.0,093A
6002.952,-2562.6223,-6492.204,410.41882,397.71643,10375.58,-3725.6177,-3693.148,12638.743,4296.8984,1832.0881,63.332096,-1031.1715,-1128.2346,-998.9503,-7933.0728,-12124.333,-11584.272,-5572.451,-8925.025,-7405.433,5781.7554,-4898.6987,3627.5652,-17122.604,-14039.212,-8019.1147,-13607.781,-4201.244,1983.9447,-4333.8755,-5409.8154,-9259.341,-11081.031,-17899.656,-4193.2266,3087.4465,1821.1561,6641.8447,-1601.6119,-12841.307,-1438.5798,-2493.257,1904.6316,-6764.6104,2507.979,-18862.268,-11499.647,3592.761,-9874.907,-5051.932,-3404.5105,4660.733,11662.657,-11591.616,-4799.894,-14164.352,2325.6091,-1933.1066,-10174.897,-1795.3414,470.77667,8956.575,1512.848,-5744.619,-2563.686,-3845.642,-3684.4397,-7392.0054,-5680.3506,-13123.254,1824.7743,3574.635,4554.5874,-3235.7246,-6233.5537,3424.8423,-12644.884,-8590.562,-15847.447,-5811.4067,-8284.521,6627.339,4462.6895,-2455.6165,-11731.05,-4987.527,-12037.072,-2357.3708,-15872.17,4050.2358,-12472.608,3365.6963,-10614.809,-12730.057,-12127.884,-3198.3843,2916.959,939.5718,-5567.215,-2228.739,-8685.089,-5047.168,-9376.059,4150.542,4604.8013,-7702.2456,4646.9717,-7997.8926,-3387.383,-574.6628,5047.074,-8701.815,-2798.1548,-532.33765,4305.4355,-2031.63,-13509.42,10236.232,-7816.2354,2693.4312,-14307.34,5092.535,-905.43097,-5995.846,7097.155,-12986.997,-2313.239,M,11.0,015A
4311.6587,-1827.3661,-4683.5454,301.79437,274.8404,7495.1274,-2668.4106,-2695.6577,9163.742,3093.3164,1379.9769,101.044624,-738.29584,-753.6906,-690.2108,-5742.819,-8660.437,-8419.402,-3985.1687,-6435.511,-5349.06,4235.6987,-3534.2173,2632.8691,-12374.149,-10143.563,-5809.254,-9773.885,-2993.0369,1496.5005,-3094.8293,-3929.9846,-6709.9507,-8092.6997,-12879.73,-3046.7505,2263.0105,1295.5952,4789.952,-1116.5966,-9293.425,-970.3854,-1843.4539,1460.8018,-4834.784,1788.991,-13664.581,-8236.12,2660.7097,-7196.3193,-3691.2095,-2443.934,3322.722,8440.298,-8295.54,-3471.8262,-10239.64,1713.0597,-1412.2043,-7357.1367,-1377.5703,336.09662,6456.7363,1081.8123,-4083.083,-1848.5741,-2732.013,-2668.1365,-5354.8467,-4144.602,-9550.608,1282.2544,2603.875,3289.0198,-2268.7668,-4475.1187,2472.0947,-9120.113,-6259.9385,-11436.723,-4203.6787,-5968.2,4802.7246,3201.8396,-1856.4126,-8459.975,-3563.647,-8631.016,-1696.8407,-11451.514,2923.084,-8973.833,2431.836,-7691.112,-9174.923,-8776.128,-2313.185,2132.7615,667.60046,-3981.1152,-1601.6227,-6291.225,-3698.1172,-6820.959,2968.669,3323.93,-5489.0815,3354.4106,-5781.254,-2459.1826,-431.0257,3631.7034,-6271.549,-1972.2709,-358.3321,3153.1216,-1436.7938,-9760.246,7420.024,-5700.163,1945.2499,-10337.66,3688.111,-666.8629,-4377.633,5068.3867,-9385.546,-1662.851,X,17.0,097A
