0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,gender,target,cat_id
7067.8154,-3041.892,-7637.079,409.30902,423.64752,12140.169,-4390.9883,-4492.4336,14855.849,5021.2417,2108.498,57.396793,-1249.7429,-1213.97,-1164.6044,-9402.689,-14277.537,-13641.818,-6651.6157,-10448.067,-8648.273,6895.48,-5881.591,4299.3066,-20117.771,-16535.74,-9435.177,-15938.919,-4940.2925,2437.3708,-4999.908,-6484.5713,-10920.937,-13076.971,-21054.994,-5003.9297,3697.254,2112.2622,7725.833,-1846.6967,-15128.273,-1631.6074,-2960.0527,2388.301,-8088.549,2857.8398,-22236.436,-13432.655,4275.0503,-11569.204,-6028.265,-4016.7083,5479.6997,13611.129,-13563.093,-5653.5327,-16641.389,2661.4756,-2261.9028,-12035.825,-2173.4355,509.1888,10450.823,1838.676,-6834.0566,-3014.0955,-4445.881,-4275.885,-8772.106,-6664.483,-15556.31,2089.8918,4156.758,5360.661,-3687.5693,-7308.134,3932.4653,-14902.532,-10216.841,-18700.842,-6789.381,-9702.489,7811.6733,5238.91,-2960.1692,-13720.413,-5852.1177,-14150.836,-2715.0635,-18702.549,4724.1113,-14608.419,3903.1545,-12470.403,-15087.357,-14415.99,-3734.7202,3323.6335,1015.85535,-6598.394,-2628.3564,-10248.062,-5999.9517,-11081.961,4859.668,5398.398,-9161.494,5376.667,-9558.69,-3980.288,-668.16547,5857.127,-10320.497,-3245.123,-703.81213,5065.1006,-2529.0488,-15894.402,12009.987,-9312.043,3232.928,-16934.986,5948.982,-1194.3514,-7128.5405,8315.7705,-15274.327,-2858.5613,M,2.0,006A
6585.5806,-2962.6821,-7140.0835,316.25488,342.7275,11264.219,-4079.16,-4220.7812,13830.641,4745.225,1863.8918,-47.879604,-1184.6859,-1216.0061,-1034.8499,-8784.981,-13450.772,-12791.283,-6253.926,-9728.537,-8095.6494,6379.515,-5492.541,3987.7666,-18886.834,-15393.872,-8712.765,-14917.933,-4697.408,2154.0078,-4702.8584,-6009.836,-10210.613,-12122.525,-19710.154,-4588.339,3388.6853,1901.3583,7217.0337,-1814.3396,-14123.337,-1649.141,-2768.9211,2150.675,-7535.157,2683.583,-20797.322,-12673.67,3971.9766,-10967.655,-5575.653,-3760.8955,5091.2407,12692.53,-12787.103,-5209.4004,-15573.673,2463.499,-2127.8,-11323.567,-2028.2278,484.00613,9666.704,1730.2114,-6365.0234,-2821.0247,-4196.067,-4074.0952,-8192.91,-6219.5713,-14460.123,1916.2888,3835.6572,5039.047,-3486.9949,-6888.0645,3627.9421,-13851.767,-9487.165,-17449.115,-6370.987,-9089.983,7212.051,4889.3555,-2752.8838,-12788.875,-5551.475,-13271.566,-2504.5588,-17454.818,4378.2637,-13666.351,3649.7097,-11657.48,-14185.879,-13452.099,-3447.4373,3027.681,941.2828,-6191.5137,-2458.1614,-9619.575,-5585.549,-10300.171,4547.52,5036.512,-8593.004,5052.799,-8875.642,-3714.402,-616.34485,5362.17,-9676.082,-3084.3677,-754.06525,4656.6772,-2392.9683,-14897.506,11159.215,-8578.629,2997.9927,-15771.866,5537.86,-1105.1536,-6684.652,7754.0005,-14270.86,-2684.5725,F,5.0,000A
7842.7314,-3299.6982,-8657.543,431.70447,386.85565,13510.585,-4743.713,-5061.8784,16513.885,5620.696,2411.709,253.43478,-1396.6796,-1282.0889,-1185.5181,-10534.189,-16010.697,-15162.309,-7559.864,-11461.341,-9678.602,7850.3823,-6482.5547,4762.407,-22545.19,-18373.102,-10428.7705,-17634.268,-5492.176,2811.4421,-5421.977,-7393.0425,-12349.204,-14715.075,-23532.717,-5555.7827,4197.3076,2226.987,8687.909,-2035.2054,-16859.99,-1863.001,-3406.3176,2845.0667,-9028.192,3272.5024,-24814.855,-15032.407,4777.4194,-13030.679,-6621.656,-4522.0635,6083.4277,15140.582,-15289.38,-6266.068,-18649.37,3010.452,-2670.8313,-13496.022,-2462.9058,516.9585,11547.608,2132.735,-7570.4907,-3361.5586,-5003.3994,-4800.3745,-9714.716,-7540.7695,-17248.395,2288.759,4592.874,5965.0967,-3921.7507,-8223.784,4331.065,-16601.342,-11475.905,-20907.674,-7638.6953,-10771.964,8634.88,5923.0664,-3459.1428,-15161.817,-6517.0337,-15792.752,-2860.7366,-20928.723,5199.11,-16232.929,4391.1006,-13858.158,-16923.803,-16235.011,-4223.9946,3626.8894,1071.7732,-7224.706,-2989.9155,-11334.474,-6844.243,-12473.481,5435.9165,6125.346,-10146.261,5931.563,-10612.277,-4464.9136,-834.68646,6469.451,-11535.603,-3616.4683,-851.3021,5661.1304,-2720.1978,-17648.742,13447.962,-10357.765,3743.6567,-18743.447,6821.3184,-1326.5513,-7945.237,9335.651,-16964.73,-3123.5413,X,0.0,044A
6428.0635,-2800.0999,-7090.783,386.2185,300.5237,11077.611,-3924.112,-4100.7363,13615.041,4675.3364,2006.8414,127.34295,-1122.0397,-1064.9307,-954.4623,-8649.57,-13099.343,-12477.716,-6197.7666,-9527.97,-7873.3696,6345.2095,-5166.5938,3870.1423,-18327.38,-14965.971,-8607.834,-14473.263,-4521.8545,2253.3442,-4484.6836,-5945.6904,-10038.544,-11964.805,-19216.627,-4516.21,3482.0515,1830.0917,7099.2725,-1684.3304,-13872.903,-1423.5858,-2790.2368,2362.1467,-7329.0786,2589.8171,-20389.37,-12361.152,3964.279,-10744.083,-5446.5454,-3706.778,4980.2153,12466.44,-12426.347,-5075.951,-15238.47,2538.898,-2188.5237,-11103.417,-2149.6038,452.86597,9484.889,1737.897,-6236.5044,-2754.5913,-4064.955,-3906.914,-7955.929,-6185.309,-14202.105,1850.0588,3796.3237,4839.1724,-3272.1858,-6668.181,3593.9907,-13675.089,-9420.095,-17065.107,-6298.87,-8868.582,7089.5225,4839.1396,-2796.4512,-12407.074,-5314.4893,-12808.766,-2306.5786,-17065.771,4302.0103,-13354.257,3676.2844,-11310.857,-13808.618,-13213.472,-3484.1777,3060.2542,914.2055,-5985.187,-2444.0642,-9332.982,-5503.5684,-10226.519,4421.743,4991.5947,-8217.486,4895.7905,-8686.46,-3648.412,-621.63434,5308.1904,-9494.379,-2958.196,-692.1493,4688.8687,-2264.3027,-14545.973,11002.19,-8542.824,3008.6184,-15341.832,5441.419,-1122.2272,-6547.0337,7558.9604,-13891.917,-2595.2136,X,0.0,014B
6126.755,-2608.2761,-6658.246,346.17896,342.1558,10518.6,-3804.5847,-3922.536,12788.936,4282.6147,1811.2323,115.61509,-1076.4188,-1047.2141,-994.3147,-8056.696,-12353.122,-11764.421,-5749.636,-9015.326,-7520.28,6036.6655,-5086.332,3673.489,-17391.434,-14281.84,-8112.796,-13808.799,-4327.2563,2074.4856,-4340.4253,-5612.398,-9442.679,-11410.92,-18272.355,-4313.3096,3171.506,1829.641,6689.1914,-1605.2738,-13025.72,-1481.422,-2491.727,2040.9556,-6968.866,2545.3179,-19231.504,-11648.815,3592.8804,-10061.954,-5135.5347,-3470.0466,4696.7715,11733.65,-11796.593,-4867.468,-14461.559,2285.4062,-2026.6049,-10378.136,-1835.196,424.29593,9100.764,1619.3881,-5889.705,-2607.82,-3820.801,-3722.4517,-7608.3057,-5774.2847,-13351.836,1812.8506,3571.2788,4625.826,-3242.9133,-6324.1855,3390.96,-12950.656,-8823.088,-16202.416,-5927.094,-8372.076,6689.958,4570.2163,-2592.7825,-11905.185,-5014.5454,-12337.737,-2346.6338,-16252.113,4015.6902,-12642.323,3453.1274,-10808.116,-13095.821,-12368.663,-3264.7031,2894.8362,895.60944,-5672.011,-2357.678,-8826.585,-5167.6465,-9606.143,4201.4307,4655.3853,-7836.63,4651.334,-8196.612,-3463.4849,-623.2066,5038.9014,-8916.036,-2799.9004,-593.0049,4310.5615,-2124.2275,-13737.953,10368.432,-7868.251,2860.1274,-14603.54,5166.3413,-1018.967,-6126.721,7245.6074,-13178.858,-2419.185,F,5.0,000A
7599.693,-3269.9934,-8145.792,340.02106,398.52063,12934.069,-4740.209,-4939.7144,15810.264,5286.263,2064.6516,-37.54437,-1336.8152,-1301.5847,-1344.2201,-9905.786,-15328.732,-14494.381,-7133.0483,-11117.382,-9324.028,7397.0913,-6292.9014,4548.846,-21296.98,-17578.46,-9939.532,-16988.174,-5412.705,2513.156,-5254.5317,-6882.871,-11602.284,-13979.198,-22503.893,-5356.496,3875.4775,2227.7058,8098.9424,-2094.2478,-16121.01,-1902.3544,-3123.492,2579.2136,-8821.169,3048.4893,-23708.12,-14354.384,4426.567,-12284.931,-6325.3916,-4282.5728,5798.3486,14446.137,-14559.956,-6099.4663,-17848.15,2752.1448,-2448.5398,-12869.675,-2292.1248,586.74036,11194.284,2016.0654,-7336.259,-3226.6836,-4674.9697,-4742.6123,-9377.521,-7020.914,-16512.352,2159.4019,4296.8867,5716.2803,-4051.9521,-7849.2754,4138.1177,-15955.752,-10886.37,-19992.283,-7291.49,-10244.511,8225.573,5659.58,-3185.667,-14756.589,-6294.2227,-15078.845,-2902.8015,-20114.96,4884.6895,-15621.896,4299.107,-13298.166,-16180.78,-15296.212,-3989.614,3473.2063,1063.2506,-7100.444,-2928.563,-10921.035,-6366.0083,-11797.713,5106.522,5725.629,-9887.219,5721.7554,-10232.144,-4259.2573,-689.0644,6090.2236,-11132.405,-3463.393,-782.1787,5274.464,-2822.415,-16988.936,12691.763,-9607.909,3486.858,-17999.902,6274.823,-1207.8713,-7491.2983,8937.894,-16189.543,-3071.201,M,6.0,033A
10570.949,-4490.9473,-11495.392,549.18243,422.0603,17954.617,-6559.5654,-6865.404,22020.135,7398.6987,2890.0317,197.80319,-1852.1638,-1670.3751,-1555.1099,-14025.024,-21213.213,-20275.705,-9906.837,-15221.285,-12770.923,10425.109,-8616.045,6351.957,-29670.666,-24488.416,-13986.688,-23560.6,-7334.263,3738.1895,-7302.264,-9850.649,-16335.622,-19368.748,-31249.691,-7440.8364,5393.52,3077.259,11319.495,-2688.5593,-22443.879,-2332.9968,-4369.53,3869.7983,-12022.769,4223.282,-32950.652,-20093.67,6323.229,-17214.723,-8962.64,-5959.8794,8076.938,19985.367,-20198.232,-8289.245,-24793.518,3843.1836,-3515.6287,-17745.414,-3383.2131,621.20386,15233.835,2767.9526,-10200.7705,-4481.2124,-6583.493,-6193.21,-13076.891,-9858.392,-23002.582,2883.5881,6006.5713,7951.259,-5265.903,-10827.411,5859.7593,-22132.83,-15179.108,-27864.557,-10121.179,-14228.315,11389.987,7842.9653,-4635.2812,-20298.533,-8787.704,-20857.053,-3782.4158,-27867.57,6781.6997,-21580.959,5852.215,-18523.65,-22391.078,-21432.889,-5708.4297,4822.68,1264.0765,-9647.496,-3992.968,-15067.279,-8977.066,-16467.795,7136.7915,8175.566,-13590.1,7866.73,-14171.963,-6025.873,-1102.9506,8582.505,-15324.38,-4701.4307,-1212.522,7357.0356,-3817.8435,-23392.436,17707.16,-13603.359,4838.5757,-24885.422,8802.463,-1853.7599,-10527.093,12501.1045,-22493.816,-4317.568,X,0.0,111A
9913.7295,-4333.474,-10653.218,559.6987,539.1656,16892.719,-6136.823,-6284.1733,20633.54,6986.2866,2810.558,113.544655,-1698.5414,-1623.5806,-1598.4702,-13045.017,-19914.63,-18991.746,-9180.997,-14592.569,-12068.341,9621.754,-8196.3125,6058.472,-27958.994,-23100.025,-13039.978,-22151.322,-6941.017,3295.694,-7004.9976,-9021.123,-15097.333,-18106.45,-29407.521,-6976.43,5142.899,3032.7473,10710.642,-2547.1577,-20991.713,-2319.7454,-3984.4514,3398.4822,-11381.991,3930.9197,-30906.537,-18626.545,5804.472,-16121.115,-8304.887,-5535.052,7603.773,18946.246,-18882.344,-7799.4263,-23222.092,3680.8923,-3195.1174,-16682.02,-2991.0972,769.7153,14585.792,2533.1729,-9481.37,-4200.9917,-6126.254,-6069.4497,-12223.469,-9213.28,-21501.393,2874.5247,5753.6367,7506.3174,-5233.815,-10080.707,5543.9595,-20962.297,-14166.292,-26092.324,-9419.202,-13486.017,10771.682,7282.385,-4085.8252,-19186.992,-8123.2847,-19694.895,-3809.9316,-26128.734,6509.77,-20419.682,5507.423,-17403.691,-20985.416,-19937.352,-5205.9883,4595.011,1408.4514,-9194.072,-3723.488,-14180.71,-8260.951,-15427.355,6735.02,7470.8984,-12761.381,7503.7163,-13260.966,-5606.1035,-976.0555,8153.666,-14441.636,-4573.6753,-986.0389,6984.38,-3564.4268,-22068.473,16665.29,-12751.695,4484.7837,-23633.666,8283.276,-1574.4014,-9829.009,11610.079,-21208.703,-4003.5144,X,14.0,093A
7529.575,-3297.5715,-8202.319,450.7047,470.03345,13027.47,-4681.7993,-4716.1226,15875.094,5408.765,2298.7407,66.51664,-1329.6184,-1420.6874,-1202.7098,-10056.259,-15274.624,-14647.641,-7087.9365,-11233.417,-9317.372,7335.771,-6267.956,4598.428,-21586.78,-17699.986,-10102.899,-17206.377,-5342.0283,2537.823,-5415.647,-6900.62,-11657.415,-13980.028,-22529.307,-5291.71,3900.799,2265.9036,8329.871,-2022.573,-16161.332,-1836.813,-3200.2766,2437.1316,-8598.915,3112.8071,-23818.129,-14445.472,4557.766,-12446.832,-6332.9556,-4344.893,5834.4136,14658.437,-14587.273,-6002.934,-17822.578,2935.4932,-2418.813,-12926.026,-2298.0735,596.57544,11227.909,1928.139,-7220.548,-3224.0247,-4807.2173,-4644.2515,-9285.783,-7193.7397,-16543.277,2279.6956,4509.2373,5710.3433,-4020.2192,-7855.2617,4305.9673,-15950.09,-10828.262,-20018.564,-7316.88,-10411.352,8374.561,5625.527,-3110.3647,-14739.167,-6297.0625,-15179.933,-2943.2615,-20049.152,5044.7837,-15747.523,4246.1953,-13290.608,-16101.827,-15313.57,-4029.9692,3606.2454,1118.5167,-7024.167,-2796.9824,-11003.159,-6383.705,-11876.237,5261.9136,5784.4937,-9779.21,5831.2007,-10140.358,-4255.144,-726.0388,6312.2017,-10976.313,-3530.5112,-736.8694,5469.5894,-2617.3022,-17082.115,12887.282,-9845.662,3381.816,-18125.26,6422.917,-1202.1414,-7590.777,8979.742,-16382.955,-2955.6558,M,11.0,015A
5462.1836,-2390.6807,-5953.0874,306.0648,287.6935,9426.786,-3392.203,-3527.3462,11579.578,3897.7192,1654.4081,48.49503,-961.5346,-1020.4897,-854.1013,-7290.1367,-11027.627,-10590.417,-5094.2227,-8078.9463,-6729.5664,5429.291,-4554.702,3301.9453,-15619.406,-12863.894,-7286.919,-12342.675,-3847.793,1885.7717,-3866.1277,-4992.79,-8485.525,-10222.302,-16183.106,-3824.1453,2805.3835,1611.5433,5956.8354,-1438.7886,-11738.288,-1268.4092,-2386.4365,1868.2096,-6108.155,2263.0117,-17335.752,-10436.548,3349.7156,-9113.037,-4591.0366,-3170.238,4167.705,10608.884,-10538.708,-4377.0815,-12919.557,2041.8202,-1821.7247,-9428.319,-1724.6329,412.50653,8102.5625,1403.2657,-5220.896,-2343.7166,-3477.9468,-3363.1672,-6784.8755,-5175.7056,-12102.746,1581.9415,3240.213,4155.5635,-2822.9314,-5676.597,3118.7666,-11581.612,-7852.1836,-14494.021,-5287.2,-7540.3853,6005.1045,4095.9314,-2397.0508,-10700.688,-4561.9575,-10954.422,-2118.9006,-14524.0205,3613.0156,-11327.841,3123.7146,-9624.47,-11702.225,-11130.933,-2894.232,2619.5933,822.3247,-5026.1655,-2040.991,-7991.1885,-4657.509,-8648.577,3783.5625,4206.5503,-7070.556,4206.191,-7361.797,-3073.7542,-531.9628,4542.2065,-7975.276,-2499.3672,-601.1645,3945.3755,-1890.6615,-12298.1875,9327.378,-7178.3555,2454.4912,-13112.512,4588.238,-889.32446,-5518.372,6468.432,-11823.257,-2146.175,X,17.0,097A
