0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,mean_freq,gender,target,cat_id
2507.3462,-1121.1508,-2762.225,182.99796,158.23712,4360.929,-1529.4093,-1665.096,5311.376,1780.7025,673.9887,85.46166,-439.18607,-496.02972,-349.13052,-3394.6191,-4984.0938,-4992.432,-2327.8435,-3690.3677,-3115.8237,2476.4631,-2152.6768,1556.3706,-7205.5835,-5969.192,-3362.136,-5639.099,-1744.8865,779.6265,-1816.179,-2338.0376,-4010.4514,-4762.908,-7461.8315,-1742.5803,1249.0674,735.39667,2782.9666,-674.76776,-5449.142,-568.3097,-1071.6542,838.6643,-2859.4387,1037.7134,-7929.3643,-4774.587,1575.0215,-4282.0947,-2067.2966,-1459.1128,1975.1504,4913.3647,-4900.43,-2007.235,-5997.3228,842.3921,-888.97064,-4354.8037,-725.3161,74.93793,3691.1084,570.889,-2228.5305,-1079.5195,-1693.6691,-1643.9946,-3156.862,-2394.2668,-5511.937,658.31067,1495.4948,1986.9275,-1282.9688,-2708.3032,1437.9115,-5339.916,-3627.2134,-6726.936,-2330.9746,-3520.7546,2706.0623,1859.8134,-1216.5302,-4880.1714,-2191.0623,-5142.479,-1005.6009,-6732.919,1642.5544,-5247.129,1346.7827,-4589.3423,-5408.5195,-5254.7363,-1376.0375,1173.7883,350.74673,-2288.053,-935.52295,-3665.6375,-2142.7231,-3986.1838,1713.55,1925.2821,-3357.8245,1976.6196,-3435.6929,-1391.5636,-277.87598,2074.6948,-3688.5623,-1195.2953,-318.7439,1802.1617,-884.183,-5585.038,4331.5864,-3324.529,1101.5376,-6083.64,2183.39,-426.972,-2605.151,3033.552,-5356.6533,-1010.29974,267.96,M,18.0,059A
2910.5522,-1322.4845,-3234.1206,218.74025,172.76865,5078.695,-1727.9017,-1930.5233,6182.7783,2067.4736,865.3139,56.485813,-522.09735,-564.391,-417.9721,-3925.539,-5863.9746,-5726.2485,-2719.174,-4267.5156,-3614.5627,2860.4536,-2535.7393,1810.3721,-8446.04,-6929.2573,-3879.8298,-6577.496,-2008.1012,937.9417,-2066.8513,-2735.8542,-4595.573,-5490.551,-8730.705,-2007.373,1491.2937,876.057,3278.0205,-765.1453,-6343.025,-675.3137,-1211.3035,973.14325,-3325.6404,1213.637,-9210.96,-5507.6025,1770.0316,-4928.0273,-2383.5322,-1687.6562,2296.5242,5743.1177,-5711.064,-2341.474,-6931.319,1010.3419,-1018.47156,-5100.5244,-799.11945,134.21922,4305.2056,704.2709,-2631.409,-1253.5402,-1943.0757,-1902.6206,-3626.1255,-2781.7551,-6414.811,789.71356,1764.2312,2310.0442,-1472.6799,-3136.1072,1669.9219,-6217.443,-4221.6553,-7792.9873,-2711.2366,-4127.3896,3173.876,2196.383,-1392.5398,-5643.5044,-2466.4824,-5975.972,-1193.8683,-7807.284,1934.9384,-6069.8247,1594.488,-5283.9604,-6321.31,-6106.8447,-1622.4086,1366.1061,410.90482,-2647.867,-1081.8093,-4298.995,-2478.276,-4647.812,2011.9874,2231.489,-3894.91,2267.8145,-3977.5068,-1656.2284,-321.0075,2398.2012,-4273.684,-1359.4968,-345.61865,2085.0605,-1006.8157,-6470.2827,5051.8506,-3890.5796,1306.3187,-7101.735,2535.1375,-455.307,-3065.2607,3488.1797,-6247.5703,-1191.9777,267.96,M,18.0,059A
3289.8948,-1515.2855,-3629.8174,206.92426,240.10335,5757.2314,-2001.463,-2195.1763,7009.5776,2358.3604,918.89764,42.039295,-574.44824,-630.0728,-504.7774,-4458.584,-6674.483,-6539.5083,-3077.1072,-4865.3135,-4059.4011,3205.392,-2848.387,2088.2432,-9509.951,-7840.2305,-4370.588,-7510.8203,-2310.6619,1082.5336,-2368.7576,-3093.8892,-5214.8833,-6172.6914,-9869.848,-2319.7725,1607.1648,977.3692,3694.9214,-919.13116,-7185.393,-784.56726,-1397.1145,1074.7649,-3842.812,1343.7927,-10406.991,-6255.6836,2016.8232,-5609.219,-2702.6206,-1943.0897,2641.7642,6481.9595,-6461.8677,-2687.9517,-7883.203,1159.9843,-1091.0123,-5757.961,-872.31934,181.30637,4843.185,792.05255,-3008.8533,-1425.3584,-2232.08,-2221.9373,-4150.525,-3130.7224,-7245.876,896.94977,1994.4905,2641.648,-1674.0946,-3572.941,1885.3654,-7063.927,-4757.6704,-8856.749,-3079.002,-4641.041,3602.3943,2466.997,-1529.5441,-6441.09,-2865.133,-6767.3804,-1406.3168,-8886.836,2191.941,-6952.548,1781.888,-6000.3833,-7172.2295,-6957.0645,-1807.8595,1543.2996,469.38263,-3045.6326,-1256.9858,-4886.871,-2817.0537,-5231.6807,2271.7104,2519.6897,-4453.224,2609.4263,-4516.898,-1896.8693,-348.32388,2723.813,-4887.575,-1585.6337,-401.4799,2374.5684,-1232.0123,-7371.0703,5732.812,-4410.557,1498.2859,-8031.319,2879.4456,-536.14246,-3444.969,3972.0955,-7126.8057,-1404.4501,267.96,M,18.0,059A
2928.205,-1281.2555,-3055.952,126.804535,165.67467,4954.503,-1707.1726,-2029.4298,6121.496,2001.5831,795.8748,72.16785,-515.935,-342.58862,-409.8357,-3755.5408,-5863.39,-5596.82,-2623.5232,-4035.2344,-3473.673,2977.0276,-2414.4595,1810.1755,-8198.346,-6845.391,-3626.9316,-6323.848,-2002.4442,992.26447,-2104.5825,-2701.5461,-4544.4243,-5390.5645,-8569.975,-2031.3896,1477.6167,860.8088,3134.9868,-710.1395,-6248.6763,-576.5578,-1223.6101,1108.8492,-3391.701,1194.7764,-9025.2705,-5418.826,1744.937,-4952.053,-2328.142,-1652.8301,2219.3484,5592.6826,-5608.567,-2365.3542,-6892.1865,953.4881,-1091.215,-4910.027,-828.8464,298.68036,4303.7417,710.8081,-2686.236,-1244.2285,-1819.8167,-1989.5205,-3675.0227,-2608.9915,-6233.1304,842.1133,1651.8881,2307.4902,-1463.7963,-3042.2532,1659.8381,-6146.273,-4193.125,-7706.1875,-2749.0596,-3969.3086,3048.5513,2149.5942,-1408.7478,-5595.603,-2541.273,-5837.507,-1178.0941,-7798.343,1821.1914,-5917.5234,1718.0088,-5215.3745,-6166.8486,-5985.9844,-1550.1298,1338.5933,376.7868,-2604.794,-1225.2478,-4214.4634,-2385.2864,-4604.284,1887.2478,2187.3591,-3870.5564,2255.3281,-3871.8567,-1661.0072,-309.72913,2291.529,-4223.8228,-1236.4045,-347.009,1962.739,-1091.8463,-6451.006,4950.306,-3722.244,1433.2443,-6850.4624,2480.394,-382.33475,-2893.6697,3423.055,-6117.0703,-1093.8365,322.07,F,17.0,011A
3277.8965,-1406.7067,-3475.4353,141.4206,307.73773,5644.0435,-1929.3776,-2202.665,6854.0576,2279.155,969.50104,150.97003,-580.3466,-536.06805,-441.31372,-4308.2554,-6600.386,-6265.0,-3023.818,-4685.591,-3916.4458,3233.9365,-2780.5107,2046.8043,-9347.388,-7786.7837,-4147.7646,-7274.598,-2326.9263,1135.1132,-2303.131,-3075.3298,-5186.791,-6089.3354,-9727.686,-2270.8088,1634.1978,964.36316,3636.4856,-850.0428,-7027.054,-773.1466,-1259.4326,1130.0103,-3935.2468,1385.4187,-10108.182,-6073.2407,1830.235,-5544.063,-2589.5767,-1841.7183,2605.1726,6316.3457,-6354.3,-2643.1172,-7755.5986,1086.0334,-1105.2545,-5657.588,-773.83765,236.15382,4778.257,920.13574,-3027.031,-1398.8916,-2161.7993,-2272.5088,-4076.1833,-3047.0085,-6932.608,986.5335,1903.8713,2623.1467,-1625.8265,-3494.5757,1756.6118,-7083.8145,-4779.3438,-8627.602,-3067.3477,-4579.881,3566.4878,2495.5537,-1480.9581,-6214.586,-2728.9678,-6699.039,-1324.5507,-8862.684,2136.704,-6682.364,1861.862,-5872.9697,-7161.768,-6871.4507,-1803.365,1473.2013,462.6998,-2983.5615,-1354.7175,-4734.9683,-2696.2979,-5145.9326,2216.365,2434.8723,-4359.591,2503.2266,-4423.139,-1885.5306,-326.51688,2585.1953,-4835.937,-1563.5969,-370.724,2248.8281,-1248.8093,-7236.872,5619.457,-4280.6064,1662.8951,-7783.977,2901.1147,-541.23975,-3283.2324,3858.2058,-6948.0537,-1299.2246,385.35,M,10.0,103A
2743.516,-1167.1935,-2940.3726,149.05719,249.37254,4777.403,-1661.1694,-1844.2886,5814.6885,1944.7272,798.66223,21.46539,-459.6937,-435.36865,-354.48853,-3651.8896,-5518.806,-5386.144,-2538.9954,-4005.7463,-3226.7156,2727.2263,-2337.8408,1749.0253,-7755.9336,-6529.7515,-3528.5525,-6163.971,-1969.9897,897.77313,-2021.3125,-2567.8027,-4360.1367,-5165.4146,-8211.355,-1950.696,1359.0415,778.138,3030.2507,-803.6841,-5950.3145,-591.612,-1164.3846,995.3178,-3257.0522,1142.6433,-8550.649,-5155.327,1670.8352,-4753.582,-2169.0593,-1635.1775,2176.3801,5348.5073,-5342.305,-2296.2773,-6560.837,980.55786,-894.0092,-4709.8213,-713.3289,244.46286,4047.5166,705.4129,-2535.3022,-1188.4216,-1798.409,-1889.2329,-3393.3225,-2541.0803,-5887.758,787.7847,1622.1199,2272.4043,-1334.1661,-2964.3606,1536.7821,-5848.87,-4001.8655,-7318.227,-2699.0347,-3811.7036,2987.554,2057.9363,-1274.1096,-5324.0127,-2409.2954,-5543.7134,-1164.3291,-7435.8477,1759.4127,-5696.986,1651.2782,-4991.406,-5929.377,-5827.903,-1451.7578,1281.3839,405.7211,-2533.6746,-1152.725,-3987.8875,-2285.5334,-4350.4893,1861.1235,2053.0178,-3635.9587,2182.9653,-3717.2844,-1549.0111,-285.98608,2207.7183,-4061.1707,-1281.5126,-287.68137,1923.852,-1112.7809,-6231.5264,4752.299,-3540.7478,1382.8386,-6526.7515,2380.1448,-448.10446,-2755.311,3275.8726,-5882.331,-1162.8317,355.19,X,16.0,057A
2732.523,-1110.7853,-2913.9658,156.74045,238.38284,4707.2544,-1660.1135,-1821.5226,5723.8877,1905.7662,689.35406,67.63395,-435.32114,-406.05176,-373.1702,-3603.026,-5405.821,-5301.0464,-2462.0115,-3880.2322,-3224.8652,2695.9172,-2238.563,1738.6826,-7638.2334,-6393.8877,-3498.0767,-6039.269,-1926.2212,916.8271,-1922.5967,-2546.2651,-4325.2827,-5074.9604,-8017.3623,-1914.3501,1301.6292,796.3387,2944.21,-741.9807,-5876.281,-504.6697,-1105.6405,1021.4353,-3241.6492,1138.8242,-8346.397,-5066.806,1644.8029,-4593.1396,-2217.5903,-1560.5173,2162.4397,5208.995,-5265.3774,-2224.5776,-6400.4297,911.0847,-911.9405,-4615.869,-665.9576,192.80367,3974.9426,666.9014,-2442.699,-1164.8724,-1783.3982,-1810.2356,-3349.2668,-2475.8032,-5801.1313,757.4304,1575.921,2209.2217,-1290.8058,-2900.7837,1510.2305,-5781.1797,-3919.1306,-7232.1133,-2571.5513,-3698.1084,2913.402,2012.2424,-1264.4886,-5201.519,-2396.3213,-5461.7056,-1086.7704,-7281.507,1755.1324,-5567.638,1572.3201,-4928.8066,-5801.9326,-5704.952,-1478.3123,1260.3176,372.37903,-2465.3557,-1152.1691,-3859.0977,-2245.2441,-4275.4824,1823.5028,2049.7932,-3575.8108,2140.3923,-3671.5159,-1539.9258,-291.95416,2214.9094,-3962.3345,-1225.425,-290.5821,1874.5378,-1051.3124,-6009.187,4666.695,-3443.3162,1335.9049,-6429.071,2374.66,-424.39935,-2721.0913,3271.6174,-5756.6855,-1094.5529,439.91,X,16.0,057A
2891.7507,-1195.6982,-3132.989,177.77829,259.1753,5050.7446,-1762.7157,-1926.8275,6154.9844,2077.954,787.1382,93.61904,-475.19177,-411.31998,-394.00604,-3865.0225,-5824.183,-5692.6807,-2638.6582,-4192.7847,-3435.55,2860.474,-2417.6826,1851.6853,-8230.79,-6855.622,-3771.6843,-6516.601,-2049.661,966.87976,-2076.1482,-2726.8599,-4600.9077,-5442.4385,-8633.711,-2055.9187,1448.1152,863.3752,3184.6199,-805.2161,-6297.264,-576.71313,-1169.622,1058.8917,-3501.3433,1188.1558,-8949.665,-5414.697,1743.8574,-4935.012,-2375.8435,-1643.1606,2337.661,5608.804,-5644.553,-2400.6562,-6850.7793,1009.17896,-935.4106,-4923.0566,-666.7595,216.18192,4307.2676,734.2359,-2645.5073,-1249.9817,-1907.1566,-1968.8917,-3579.2363,-2660.26,-6203.0884,843.5808,1697.2144,2351.7092,-1402.0311,-3104.706,1624.3193,-6193.118,-4227.692,-7729.437,-2767.684,-3998.8423,3162.7861,2148.0662,-1301.8434,-5570.006,-2527.3965,-5890.3867,-1178.9448,-7813.611,1897.4967,-5985.534,1677.4521,-5288.155,-6205.2925,-6126.6025,-1580.4434,1361.4163,423.1985,-2670.8997,-1247.4595,-4152.7354,-2379.176,-4559.956,1957.802,2204.3303,-3811.5579,2298.591,-3933.4973,-1651.1503,-318.51392,2394.9028,-4246.8765,-1333.4937,-265.81876,2022.5408,-1135.9811,-6475.132,5022.5425,-3734.2463,1452.4158,-6903.1094,2550.7273,-466.22925,-2920.4863,3473.572,-6211.368,-1202.2528,439.91,X,16.0,057A
2766.434,-1251.4542,-2909.7573,123.1868,185.94409,4752.6284,-1640.46,-1890.9908,5873.6064,1969.7434,786.3355,28.437992,-481.39105,-372.67566,-418.07843,-3634.0806,-5667.68,-5366.361,-2518.9446,-3912.6287,-3256.1655,2794.6262,-2329.8062,1739.4878,-7933.7896,-6544.7183,-3494.4985,-6066.952,-1882.3834,945.45355,-1986.5515,-2596.017,-4342.361,-5145.886,-8278.947,-1908.6638,1388.5443,816.5631,3063.8184,-725.3146,-5976.478,-585.81464,-1212.8201,988.01117,-3298.4097,1143.4407,-8621.499,-5228.7754,1638.2783,-4704.002,-2233.9644,-1603.1943,2177.1582,5367.5356,-5428.263,-2264.7612,-6587.496,937.7865,-970.20575,-4810.4214,-740.41144,315.02505,4089.1375,730.6913,-2529.7458,-1191.5603,-1767.9335,-1949.2898,-3443.3225,-2541.93,-5945.2827,811.5348,1603.9175,2218.6365,-1385.3179,-2941.6318,1577.2698,-5864.8057,-3987.377,-7360.4995,-2659.498,-3792.1074,2984.0823,2067.549,-1281.0009,-5354.551,-2423.6797,-5551.5615,-1182.0048,-7430.295,1787.6178,-5722.957,1585.8027,-4966.138,-5937.1875,-5762.826,-1468.1034,1261.3951,379.58765,-2531.6968,-1147.2754,-4040.6523,-2278.729,-4371.2705,1850.1702,2103.4114,-3707.2454,2151.5024,-3680.0842,-1579.2489,-298.70468,2173.4255,-4061.3044,-1221.4238,-310.26855,1920.4062,-1065.9711,-6183.63,4787.6367,-3592.0657,1332.4856,-6546.8945,2372.4016,-380.65097,-2764.9014,3253.4045,-5874.4414,-1077.8849,255.07,M,16.0,094A
3040.0806,-1392.8599,-3275.2769,110.77811,213.77698,5258.2134,-1812.1464,-2095.2012,6485.715,2200.4976,879.3597,19.373844,-552.7786,-465.0296,-458.79742,-4072.0166,-6233.479,-5939.196,-2861.815,-4369.005,-3613.567,3053.6953,-2562.4734,1906.2612,-8781.676,-7286.4653,-3851.1997,-6780.267,-2130.0422,1047.6028,-2211.5232,-2894.446,-4808.7295,-5694.975,-9168.375,-2142.981,1520.0087,878.8429,3402.3435,-810.7957,-6661.483,-691.554,-1318.2191,1072.6765,-3662.826,1254.7295,-9531.064,-5782.291,1771.3613,-5252.8794,-2448.2744,-1828.9583,2421.6882,5943.248,-5997.114,-2516.577,-7286.8022,1063.2913,-1051.0333,-5317.5195,-829.79504,338.8446,4469.293,773.92114,-2839.701,-1322.6917,-2007.895,-2143.8809,-3794.5364,-2839.887,-6562.1523,901.6116,1776.9546,2461.7163,-1519.52,-3293.8193,1728.2686,-6505.3403,-4427.692,-8142.185,-2917.6467,-4266.3633,3300.3262,2288.5662,-1418.9835,-5912.609,-2675.7207,-6148.0137,-1318.7262,-8261.4375,1990.3628,-6375.4033,1777.8564,-5505.5054,-6621.954,-6466.7744,-1652.516,1387.1405,414.0466,-2816.4885,-1256.3677,-4499.3647,-2562.4421,-4875.7627,2065.908,2335.8386,-4136.4253,2386.359,-4111.239,-1794.3094,-324.9959,2372.3616,-4527.081,-1384.6688,-361.2677,2122.2776,-1203.5382,-6885.6484,5287.6025,-4029.0183,1489.3212,-7288.5815,2638.851,-471.45505,-3112.628,3597.1272,-6526.713,-1241.1798,255.07,M,16.0,094A
