0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,gender,target,cat_id
2653.25,-1130.2015,-2869.2708,133.90634,111.39044,4608.4624,-1570.126,-1849.391,5723.5303,1934.7897,813.10205,164.15198,-490.65027,-263.34348,-318.04132,-3540.475,-5431.864,-5194.14,-2486.8484,-3792.6833,-3322.4065,2763.3777,-2283.7092,1647.7598,-7861.4316,-6384.1274,-3427.5483,-6005.5757,-1903.521,1007.861,-1902.3531,-2547.179,-4273.4727,-5117.724,-8062.7075,-1872.45,1416.1367,797.57574,2965.1377,-626.7929,-5846.939,-504.7126,-1132.9319,1092.7869,-3172.7385,1143.4963,-8463.811,-4995.3477,1600.6407,-4675.1807,-2259.0146,-1489.3014,2078.7317,5234.3257,-5228.4536,-2140.708,-6413.5493,951.8673,-996.2713,-4594.661,-782.76605,193.82501,3977.4006,685.05457,-2404.2961,-1160.8733,-1664.9996,-1749.2548,-3392.2827,-2564.3918,-5830.8315,807.8063,1573.3523,2085.563,-1308.2767,-2741.4766,1496.8544,-5803.13,-3989.1982,-7214.6875,-2621.5833,-3769.5073,2900.9368,1996.8015,-1377.6432,-5083.764,-2187.1777,-5525.1025,-1107.3652,-7245.996,1746.0743,-5554.4883,1533.0962,-4837.4985,-5844.0503,-5567.828,-1469.757,1224.8053,335.92795,-2374.7424,-1131.8113,-3971.5466,-2260.9436,-4318.9844,1761.2769,2012.2184,-3586.1707,2051.8894,-3616.369,-1523.5702,-290.39493,2141.629,-3962.253,-1230.3563,-290.28323,1868.4683,-928.7314,-6008.881,4644.315,-3562.7668,1372.5901,-6459.4194,2417.553,-430.83636,-2838.9453,3113.863,-5791.49,-986.1598,F,7.5,013B
3190.8582,-1383.9152,-3419.2473,222.00366,222.67696,5383.157,-1893.5002,-2070.6587,6559.03,2209.482,768.84344,-31.973171,-511.38226,-462.34467,-429.79724,-4161.8643,-6194.5757,-6123.8394,-2788.387,-4561.589,-3701.4153,3073.1414,-2698.4604,2025.596,-8834.304,-7306.821,-4030.915,-7020.2217,-2172.8384,997.3333,-2248.973,-2912.3818,-4896.3696,-5752.1123,-9227.169,-2175.2622,1489.0288,954.5801,3401.6362,-826.46063,-6781.9375,-655.0652,-1279.936,1083.4945,-3630.0188,1294.9398,-9688.905,-5836.821,1957.2957,-5245.5547,-2497.2417,-1721.1488,2471.724,6055.8467,-6057.23,-2555.2246,-7392.6025,1075.5366,-1002.788,-5402.3745,-826.0568,197.14828,4551.365,739.7502,-2843.2566,-1335.65,-1954.5386,-2010.7058,-3887.8179,-2853.4558,-6734.002,845.84784,1861.7566,2490.4802,-1551.8501,-3225.849,1743.8352,-6639.5356,-4484.218,-8327.523,-2932.1587,-4246.9766,3353.1199,2326.5208,-1414.9825,-5993.986,-2674.577,-6241.9814,-1242.3087,-8374.545,2005.3447,-6405.1226,1769.0503,-5589.4995,-6666.2715,-6482.1904,-1643.5734,1443.8336,424.50684,-2849.3074,-1231.8389,-4495.947,-2525.5366,-4843.502,2089.755,2351.7341,-4198.7134,2469.3516,-4197.565,-1763.5973,-301.76077,2607.1394,-4607.1714,-1426.1346,-370.24063,2180.289,-1237.9095,-6966.8457,5308.7417,-3973.703,1456.1554,-7454.549,2705.3396,-450.21158,-3137.686,3752.1792,-6716.1865,-1274.8976,F,16.0,108A
2779.0027,-1168.2499,-2949.5352,110.25705,234.14903,4727.093,-1675.1547,-1860.6862,5752.7324,1908.6512,667.32623,71.45524,-479.5898,-409.35297,-405.5432,-3648.0215,-5581.4326,-5355.5596,-2520.6863,-3930.5688,-3307.7397,2734.5225,-2320.9949,1739.115,-7836.962,-6505.0337,-3487.9377,-6198.297,-1996.6035,912.52496,-1986.454,-2614.5186,-4366.638,-5086.8994,-8131.6553,-1945.4219,1288.7466,805.58276,2974.9897,-736.8454,-5945.43,-602.99084,-1144.8687,963.5421,-3298.0574,1168.2577,-8495.438,-5128.1157,1614.1746,-4685.1133,-2235.9854,-1603.5504,2169.546,5263.888,-5344.846,-2231.9548,-6525.3955,908.12415,-921.026,-4663.8833,-699.39984,190.75865,3976.8137,655.69543,-2500.4329,-1180.8943,-1810.494,-1834.3141,-3364.8296,-2536.0317,-5825.8247,801.5856,1570.6521,2205.6694,-1344.9177,-2936.8254,1502.0516,-5937.5596,-3935.7075,-7311.7603,-2568.6826,-3786.3525,2932.7585,2028.603,-1296.6195,-5264.942,-2451.6064,-5630.448,-1137.5651,-7413.28,1775.046,-5678.9014,1556.9961,-4945.3413,-5926.4395,-5754.169,-1552.2494,1199.3153,325.149,-2490.2488,-1135.3857,-3962.8486,-2251.7485,-4313.072,1847.2913,2068.1062,-3695.931,2156.616,-3705.728,-1584.2584,-284.05283,2182.5283,-4015.1365,-1275.0725,-314.53995,1871.2847,-1066.7604,-6128.344,4696.7944,-3543.049,1337.8978,-6536.8755,2452.9363,-477.30792,-2775.7327,3301.3503,-5837.463,-1086.5265,X,16.0,057A
2442.03,-1031.972,-2658.412,132.07013,172.71693,4181.36,-1458.9854,-1642.1847,5114.94,1743.9948,698.617,141.00629,-433.94556,-367.21454,-315.10764,-3282.7043,-4940.965,-4737.438,-2282.014,-3561.9282,-2958.3813,2428.0496,-2092.2925,1536.7102,-7003.6562,-5771.5425,-3163.197,-5446.964,-1694.5629,840.532,-1716.061,-2364.2678,-3916.8164,-4576.675,-7309.402,-1730.8901,1265.7839,698.63904,2759.0342,-605.7302,-5295.9497,-563.18066,-1001.07367,937.2966,-2944.7856,1028.1213,-7618.053,-4552.998,1442.8822,-4157.1997,-2009.6489,-1373.9846,1945.842,4705.002,-4830.824,-1939.9349,-5791.527,846.60034,-843.50415,-4210.002,-663.54144,102.55827,3536.6257,642.53174,-2248.6597,-1046.5297,-1606.6022,-1603.8713,-3011.3315,-2341.6892,-5207.671,733.1768,1430.6052,1940.5844,-1176.0627,-2566.3938,1304.685,-5244.294,-3607.384,-6514.2417,-2282.7217,-3382.9316,2632.5315,1842.2971,-1147.6528,-4623.6245,-2036.8607,-5001.962,-885.0027,-6600.745,1601.5419,-5060.248,1325.803,-4440.357,-5332.759,-5181.134,-1379.6742,1079.0485,280.42273,-2227.8489,-1007.37756,-3486.3926,-2072.585,-3870.542,1653.8392,1856.7177,-3260.9954,1848.2148,-3327.245,-1406.305,-277.17993,1933.2933,-3633.356,-1193.3905,-269.95184,1735.8008,-917.63135,-5436.9946,4185.486,-3253.6233,1223.5577,-5834.466,2200.1672,-441.1323,-2509.9585,2868.779,-5206.743,-954.6359,F,14.0,051A
3878.3862,-1723.8834,-4229.579,112.75015,211.14565,6825.767,-2323.3044,-2643.6956,8473.242,2882.2532,1319.955,17.680088,-758.35675,-521.5931,-539.71204,-5247.781,-8108.4575,-7648.891,-3791.4248,-5707.0225,-4733.5806,3825.1484,-3327.0767,2398.9014,-11434.664,-9418.967,-4998.001,-8786.407,-2733.3499,1376.9691,-2839.0042,-3711.6821,-6193.175,-7380.092,-11950.025,-2804.7183,2052.5955,1084.6666,4507.4517,-1085.0885,-8678.585,-933.4436,-1685.7598,1312.36,-4821.1,1578.5957,-12420.651,-7429.277,2272.8772,-6958.4927,-3201.1125,-2318.2688,3092.7659,7791.0093,-7834.445,-3226.9802,-9350.383,1474.5286,-1333.5105,-6965.065,-1009.65375,427.95392,5872.9307,1027.9961,-3627.5684,-1714.729,-2577.8696,-2739.2302,-4807.3555,-3754.63,-8500.203,1191.4104,2312.6985,3164.031,-1933.6187,-4298.6987,2206.3125,-8389.906,-5803.9565,-10492.635,-3816.2483,-5526.943,4367.898,2936.4436,-1827.6798,-7548.436,-3343.7021,-7952.592,-1663.5923,-10668.322,2725.5312,-8279.454,2285.0352,-7028.2476,-8610.219,-8427.196,-2158.4475,1808.4166,547.97266,-3613.828,-1636.0085,-5866.892,-3335.7686,-6312.895,2662.0076,2949.9944,-5345.2114,3060.8467,-5338.446,-2342.4734,-415.98175,3054.453,-5869.137,-1822.9772,-344.68924,2805.5137,-1574.9214,-8897.567,6918.7896,-5351.7397,2012.5237,-9440.221,3382.474,-621.7433,-4091.9011,4580.7896,-8458.043,-1611.0188,M,6.0,007A
3117.409,-1370.5559,-3369.9998,193.91046,174.9898,5345.07,-1916.7325,-2055.6147,6549.675,2218.604,851.1023,74.39266,-521.2729,-426.42294,-423.40854,-4118.5664,-6228.1343,-6005.9956,-2868.3474,-4521.9585,-3730.4438,3030.7566,-2602.8064,1952.9719,-8832.834,-7315.656,-4047.2153,-6879.785,-2110.5637,1057.8079,-2229.8032,-2896.205,-4850.0264,-5720.9434,-9216.791,-2173.0403,1600.0533,916.6749,3401.2964,-793.33124,-6689.7905,-664.6139,-1263.6206,1153.5281,-3616.3845,1230.7202,-9636.716,-5759.546,1909.9265,-5187.1494,-2522.2507,-1769.2349,2444.2214,6006.28,-6010.266,-2471.999,-7276.913,1099.5508,-1039.4373,-5318.425,-864.57245,189.89987,4546.3813,746.2186,-2862.944,-1326.3708,-1943.5614,-1924.6993,-3870.0583,-2885.2751,-6719.1094,850.63043,1810.5413,2424.8845,-1545.4281,-3192.46,1728.4568,-6505.9766,-4535.4033,-8249.335,-2921.5684,-4233.3394,3387.4543,2313.157,-1365.372,-5941.4106,-2602.418,-6232.372,-1216.8729,-8326.74,2037.2478,-6361.255,1708.9192,-5510.787,-6645.965,-6498.827,-1636.5658,1436.635,435.97006,-2865.3196,-1209.7025,-4460.271,-2543.041,-4839.8525,2084.6729,2324.9758,-4080.8237,2371.2688,-4174.3716,-1794.7898,-300.86664,2587.988,-4548.842,-1404.934,-318.2196,2151.9048,-1167.3098,-6872.289,5308.785,-4029.0894,1477.5891,-7389.877,2669.0305,-520.0687,-3129.0356,3654.6514,-6630.984,-1248.7181,X,0.0,046A
3260.4492,-1400.697,-3523.9724,181.38165,191.88107,5607.1807,-2006.5126,-2131.5315,6846.9497,2314.313,867.40106,62.891453,-553.8836,-478.8354,-411.6347,-4347.4233,-6507.768,-6308.753,-3063.6292,-4767.385,-3916.9028,3157.2622,-2732.915,2029.8489,-9247.072,-7667.6636,-4281.5703,-7236.6763,-2248.7122,1107.7955,-2334.5842,-3019.6301,-5123.3228,-5994.2236,-9674.408,-2289.955,1671.1003,925.0567,3570.4414,-879.3136,-7019.0503,-730.0609,-1351.9818,1210.0597,-3794.923,1319.3855,-10083.219,-6094.833,2003.881,-5429.973,-2663.2437,-1891.0093,2585.1672,6274.238,-6334.8364,-2589.9153,-7665.142,1169.9412,-1061.3849,-5618.5757,-873.92255,149.5323,4727.503,793.4259,-3016.6501,-1388.1613,-2081.762,-2013.3804,-4024.2883,-3055.9941,-7014.7466,874.2054,1886.0918,2530.2556,-1601.5623,-3376.0725,1782.2125,-6792.5176,-4770.8467,-8645.391,-3082.492,-4456.551,3574.993,2430.5876,-1392.3427,-6176.6304,-2722.4302,-6528.092,-1265.719,-8746.049,2134.121,-6684.7812,1786.3169,-5798.273,-6973.7207,-6853.533,-1725.0109,1479.1554,453.7924,-3028.6926,-1272.002,-4646.8604,-2693.6526,-5076.87,2205.8435,2468.4258,-4275.5444,2487.0425,-4391.7803,-1854.0487,-315.70407,2689.4358,-4768.265,-1518.3856,-346.83347,2267.4443,-1232.9213,-7241.718,5541.8433,-4192.0967,1551.3671,-7708.5947,2825.6868,-587.7779,-3289.39,3848.6504,-6966.335,-1320.984,X,0.0,046A
2916.196,-1236.0396,-3076.807,151.62982,230.7733,5039.997,-1746.2999,-1970.6309,6175.0005,2070.5464,873.3603,-7.2813373,-489.1559,-372.66864,-394.3609,-3798.611,-5872.7593,-5687.5205,-2666.347,-4219.3228,-3410.9033,2930.0164,-2478.0203,1862.1198,-8179.1987,-6912.988,-3675.6042,-6455.0464,-2042.0023,995.6607,-2148.0823,-2699.7288,-4577.6455,-5474.777,-8698.773,-2110.8726,1472.613,837.9165,3217.9033,-830.5689,-6297.4946,-583.79767,-1245.6757,1121.8573,-3446.2898,1204.2588,-9096.841,-5457.791,1765.6826,-5051.0093,-2332.6455,-1713.7117,2287.4875,5653.89,-5629.828,-2438.5986,-6965.739,1053.0104,-974.5901,-4971.8027,-786.14386,290.43344,4328.3667,752.7742,-2725.5437,-1256.4344,-1840.5565,-1994.2883,-3641.152,-2670.0818,-6246.864,861.5928,1708.5365,2389.2476,-1440.114,-3055.2585,1626.4666,-6194.341,-4262.2905,-7755.364,-2869.8203,-4019.1978,3153.9705,2172.4587,-1360.7211,-5647.042,-2526.3093,-5850.709,-1220.0339,-7869.7783,1864.3342,-6035.574,1765.7604,-5277.686,-6269.742,-6106.6895,-1515.5754,1353.5272,430.21967,-2702.0442,-1230.7935,-4244.635,-2399.7622,-4593.009,1959.5818,2161.722,-3874.6514,2307.6274,-3897.0776,-1643.4084,-288.30557,2319.6921,-4328.5356,-1334.059,-310.9703,2045.6842,-1183.2565,-6615.9644,5021.9463,-3778.3538,1497.3981,-6888.9575,2492.864,-468.80493,-2891.1108,3418.686,-6220.0527,-1193.483,X,16.0,057A
3026.8477,-1250.8387,-3228.1865,177.3742,195.17479,5086.0273,-1776.3689,-2031.7909,6223.675,2105.836,774.00665,89.97466,-490.39835,-379.50842,-449.97394,-3888.0046,-6032.354,-5728.6177,-2674.5837,-4251.9175,-3544.5378,2974.848,-2534.676,1884.3677,-8401.326,-6941.8306,-3800.1477,-6529.41,-2061.9592,997.7177,-2133.097,-2765.0217,-4651.4033,-5540.836,-8799.417,-2110.8318,1545.9381,880.8611,3212.1724,-781.5584,-6414.569,-629.49713,-1232.5767,1118.164,-3536.9333,1249.8573,-9160.505,-5455.838,1763.6948,-5005.1357,-2412.499,-1662.1981,2346.7112,5697.32,-5735.847,-2442.7617,-7017.7847,993.1177,-990.88727,-4984.826,-789.06836,236.60463,4424.152,773.18195,-2759.4988,-1267.8706,-1806.7753,-1979.95,-3680.5642,-2688.5786,-6334.147,837.2638,1696.5032,2374.7598,-1480.4309,-3078.5115,1646.5935,-6303.5195,-4336.0537,-7907.3423,-2808.8013,-4048.9072,3167.2734,2255.4087,-1323.9165,-5694.587,-2529.2217,-6008.368,-1158.7899,-7957.702,1923.9415,-6042.4316,1734.3591,-5382.8423,-6345.0635,-6184.867,-1582.3197,1345.1793,388.46457,-2720.0076,-1276.284,-4207.1562,-2430.6597,-4637.466,1970.8363,2229.8755,-3893.791,2277.4368,-4007.8394,-1682.5948,-321.64804,2392.0168,-4331.651,-1306.9598,-299.86203,2024.4597,-1126.0646,-6633.615,5061.4883,-3743.8215,1491.0299,-6967.3867,2553.2012,-424.45474,-2953.1309,3533.6326,-6313.9004,-1207.8026,M,3.0,029A
2757.337,-1155.0934,-3003.0789,185.54028,220.90764,4792.686,-1667.9005,-1775.3796,5825.502,1979.2833,841.3869,73.80519,-456.95987,-342.9936,-399.14917,-3658.988,-5579.4897,-5379.4937,-2545.0513,-4091.4812,-3314.0625,2659.4143,-2314.434,1751.0975,-7848.966,-6487.7495,-3626.3892,-6138.2617,-1855.1022,935.4932,-1962.8073,-2560.067,-4320.8564,-5159.6426,-8272.762,-1992.1184,1474.5911,810.61334,3071.373,-747.4439,-6013.8765,-608.10443,-1120.3702,1030.5541,-3256.6042,1112.3787,-8555.595,-5079.1997,1649.061,-4655.6006,-2282.3618,-1504.0486,2186.1577,5352.5684,-5421.363,-2245.7554,-6444.6294,1038.0388,-889.0441,-4756.318,-697.3829,178.90565,4146.533,724.5586,-2561.11,-1177.1478,-1707.5336,-1809.3557,-3333.298,-2600.6038,-5913.8535,831.91504,1639.8943,2171.4336,-1329.5302,-2845.64,1512.9838,-5836.539,-4043.269,-7317.4526,-2612.2256,-3709.5962,3106.4397,2048.6406,-1168.8324,-5234.387,-2261.729,-5562.2715,-1059.3444,-7386.0083,1878.1042,-5679.694,1541.8503,-4884.5415,-5921.58,-5766.9033,-1472.3744,1292.1592,409.7494,-2584.8198,-1094.7783,-3946.8948,-2247.767,-4276.8994,1864.4685,2076.9177,-3641.37,2122.771,-3740.3804,-1570.3998,-279.07825,2291.7737,-4060.7732,-1276.1034,-195.20581,1975.9443,-1066.3418,-6156.912,4764.6777,-3595.8337,1352.172,-6563.446,2389.161,-451.05353,-2755.0977,3203.66,-5884.3145,-1113.8301,X,0.0,047A
