0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,target,cat_id
1990.4075,-807.37897,-2156.1057,132.92293,163.24019,3453.287,-1238.5039,-1306.2941,4194.318,1402.0933,521.189,64.545944,-317.87054,-322.67834,-250.38275,-2673.0676,-3920.498,-3887.2065,-1795.4482,-2883.5444,-2401.4602,1963.4443,-1680.1392,1273.8518,-5607.8643,-4701.1978,-2622.6714,-4469.4385,-1371.6262,685.97534,-1423.2834,-1881.7329,-3164.8042,-3716.1328,-5858.506,-1399.4109,964.2689,587.45544,2182.055,-515.3922,-4283.7725,-384.162,-809.33124,766.0133,-2305.0647,811.0645,-6125.4995,-3700.8955,1237.6752,-3305.1738,-1649.6138,-1127.6329,1580.1233,3848.6826,-3844.7847,-1612.4236,-4674.533,697.0676,-631.34656,-3406.0112,-510.21588,76.68753,2871.6233,471.87177,-1770.2775,-849.9209,-1315.3313,-1237.5139,-2448.5647,-1879.7544,-4290.5586,561.94446,1176.2988,1585.263,-910.5919,-2092.5393,1091.1785,-4205.1094,-2892.3352,-5282.048,-1846.6448,-2709.4722,2183.423,1479.8018,-928.9613,-3783.2905,-1688.3674,-3983.9814,-745.02734,-5341.153,1287.782,-4031.8936,1099.0286,-3581.7026,-4242.459,-4176.073,-1090.1953,929.0,267.9504,-1816.089,-801.06604,-2822.4287,-1637.7476,-3114.3354,1344.8138,1532.0813,-2611.9583,1537.654,-2683.2195,-1136.9723,-209.28645,1668.577,-2883.9028,-913.5952,-209.61646,1401.446,-744.4464,-4383.3438,3417.179,-2568.163,934.8765,-4744.091,1757.4836,-352.45895,-1989.5024,2362.1914,-4255.035,-783.44006,KITTEN,045A
1779.4752,-730.6647,-1981.8315,118.037155,130.29124,3132.4897,-1090.7207,-1185.5481,3840.194,1317.6881,532.7519,66.26793,-306.94727,-281.6428,-240.06114,-2431.3347,-3653.8381,-3498.0732,-1686.458,-2664.8064,-2202.1587,1783.6165,-1491.8298,1121.8718,-5156.6035,-4261.117,-2350.9763,-4076.0422,-1266.8282,627.34186,-1265.6222,-1721.367,-2877.022,-3403.7827,-5391.862,-1283.9966,926.7399,526.1552,2016.8805,-478.23523,-3929.0498,-394.86,-771.6455,667.71295,-2145.151,738.2643,-5628.9136,-3366.1265,1063.0269,-3061.5327,-1493.4688,-1033.2056,1450.7766,3515.026,-3544.0076,-1468.017,-4268.3066,652.1212,-604.9612,-3115.3264,-459.52243,94.07093,2652.4563,455.29733,-1663.8002,-777.8922,-1203.5222,-1190.3259,-2194.1516,-1734.613,-3869.5037,539.6555,1065.4187,1436.5356,-857.9033,-1881.1418,995.6551,-3853.3586,-2655.4756,-4796.685,-1708.7637,-2517.5608,2003.1022,1354.7859,-816.06506,-3446.755,-1493.3113,-3647.7234,-706.41223,-4874.3335,1209.9147,-3728.6677,1032.5874,-3236.3506,-3889.1184,-3829.712,-1000.8957,849.62665,257.7821,-1652.317,-736.00757,-2586.594,-1505.3851,-2860.8367,1233.575,1384.6647,-2394.339,1387.3445,-2474.895,-1042.122,-197.08138,1479.6602,-2654.5293,-854.98785,-171.36539,1292.6008,-656.8119,-4005.494,3129.9624,-2380.1013,891.73883,-4304.5444,1591.9535,-343.41046,-1841.3766,2128.8354,-3869.786,-714.21454,YOUNG,074A
2432.5605,-1014.5172,-2672.6116,116.56253,136.33437,4197.919,-1484.1766,-1660.4629,5138.1357,1727.7838,693.7189,92.05012,-444.85284,-365.47424,-332.26877,-3262.5059,-4916.8374,-4752.778,-2267.703,-3519.922,-2960.391,2422.4001,-2044.3644,1522.8901,-7005.8794,-5768.7783,-3163.2185,-5476.581,-1718.0349,868.9484,-1713.7146,-2342.7485,-3878.4336,-4571.0996,-7282.619,-1734.7788,1195.4763,694.2056,2733.44,-608.01025,-5288.775,-528.852,-1003.667,884.5251,-2882.715,997.05676,-7622.1787,-4585.505,1431.5892,-4135.297,-2025.3494,-1375.5068,1900.8972,4693.192,-4815.976,-1962.0559,-5765.7407,856.56647,-870.2686,-4275.704,-656.3816,144.81918,3532.9524,630.8676,-2219.1013,-1047.9678,-1619.5188,-1601.9718,-3005.8809,-2332.817,-5235.487,711.9842,1424.9148,1913.8607,-1142.088,-2581.5227,1323.3518,-5212.8853,-3565.673,-6488.767,-2310.6838,-3338.2607,2646.03,1811.0132,-1175.192,-4645.4624,-2030.5509,-4929.3447,-948.1044,-6556.4316,1606.287,-5023.3003,1348.5271,-4337.864,-5310.16,-5122.176,-1359.1583,1112.1671,289.14487,-2230.6406,-1030.9529,-3527.2278,-2076.152,-3862.8193,1638.5171,1852.3114,-3272.1196,1863.8864,-3282.1958,-1438.5104,-274.97678,1931.2123,-3613.9246,-1136.3289,-270.54565,1694.5795,-918.48413,-5393.873,4196.3213,-3238.049,1197.0455,-5802.8423,2147.963,-418.48642,-2505.8496,2874.8381,-5181.134,-937.1534,ADULT,083A
1859.4585,-819.3265,-2053.3235,138.13571,123.16572,3285.9175,-1133.6198,-1232.2866,4026.4094,1359.8007,583.9793,30.993267,-316.3209,-304.12915,-258.23776,-2508.6846,-3772.2983,-3696.7573,-1740.108,-2794.2961,-2293.4773,1858.2308,-1591.2102,1196.2275,-5393.4033,-4437.482,-2475.148,-4255.2656,-1320.2129,667.0435,-1337.6323,-1756.1569,-2975.4976,-3578.2747,-5610.658,-1317.7626,960.14856,547.7377,2096.8752,-516.6817,-4098.4233,-396.76016,-836.49097,688.3901,-2174.7297,772.6714,-5956.455,-3527.475,1183.1147,-3197.0386,-1543.1669,-1102.4042,1462.8174,3715.0906,-3628.877,-1541.3774,-4459.911,730.34735,-604.62476,-3273.8835,-546.7884,119.86793,2779.4438,475.83923,-1720.7196,-811.72217,-1182.2509,-1209.804,-2338.7756,-1815.8663,-4123.4995,529.4794,1137.1545,1480.1628,-903.60565,-1969.622,1065.2804,-3998.917,-2761.2688,-5036.5986,-1808.0194,-2627.5706,2108.8865,1421.4226,-879.2103,-3644.1348,-1579.8495,-3772.7622,-780.25464,-5055.7085,1261.5563,-3910.0417,1078.3247,-3368.3445,-4067.3228,-3960.6467,-996.10333,879.4323,273.63013,-1746.3246,-739.3629,-2756.8162,-1585.1406,-3008.2778,1297.5864,1428.7067,-2469.2234,1471.3689,-2564.7021,-1056.7206,-174.71907,1562.4951,-2780.6892,-873.3363,-187.5415,1387.8926,-675.4759,-4248.61,3279.4888,-2493.3977,886.6342,-4562.198,1658.7693,-325.9563,-1953.4713,2194.9934,-4064.9827,-767.2549,SENIOR,025A
2897.367,-1229.8151,-3087.6929,181.68768,205.27089,5007.396,-1703.6666,-1920.806,6169.8765,2102.7559,875.93024,11.922963,-491.87875,-436.93118,-350.87747,-3813.3584,-5816.082,-5579.4663,-2646.0735,-4158.2925,-3454.6853,2907.4248,-2437.5796,1818.0609,-8127.2437,-6776.965,-3663.9885,-6403.4717,-1983.9,1010.2365,-2074.1145,-2628.53,-4551.501,-5425.782,-8590.781,-2061.9595,1502.0575,815.1986,3198.1472,-780.1879,-6276.3223,-599.2097,-1283.0355,1098.7821,-3374.1013,1203.1472,-9037.043,-5454.7896,1765.3042,-4914.459,-2306.1375,-1676.2537,2277.9783,5660.97,-5589.14,-2384.2158,-6846.3027,1078.117,-956.7118,-5007.963,-779.92523,240.82787,4272.036,725.6023,-2698.9968,-1242.4124,-1839.1632,-1885.6266,-3570.6487,-2692.5227,-6235.725,832.27325,1715.4194,2338.5994,-1365.9795,-3027.672,1631.741,-6108.2764,-4199.188,-7664.6694,-2788.8235,-4013.0503,3169.2449,2176.6892,-1339.4636,-5545.0938,-2470.9067,-5767.3804,-1141.4794,-7762.562,1872.1427,-5901.134,1718.1974,-5192.3,-6175.2456,-6045.6543,-1505.1898,1362.8031,441.85956,-2636.7136,-1164.6106,-4177.519,-2384.6064,-4569.833,1953.2438,2199.7979,-3808.4404,2235.765,-3889.8215,-1603.0603,-279.09906,2348.61,-4270.1187,-1306.4845,-330.0002,2072.88,-1094.6083,-6526.7305,4979.93,-3794.3591,1389.2223,-6844.447,2477.7212,-459.84082,-2882.1968,3380.751,-6164.2803,-1135.3016,SENIOR,025A
2413.9568,-971.5392,-2614.6199,134.16322,212.7336,4179.558,-1485.7694,-1552.1836,5085.424,1706.3187,610.62036,30.950832,-393.33643,-434.66638,-280.45917,-3243.793,-4787.681,-4682.226,-2221.8105,-3523.9314,-2904.275,2331.4333,-2010.6858,1514.1672,-6801.123,-5673.3228,-3184.1584,-5392.414,-1713.3336,783.5535,-1751.5162,-2199.6016,-3809.2737,-4488.9795,-7084.5615,-1709.7977,1186.7239,698.6136,2616.8477,-709.27515,-5210.9185,-506.8193,-1033.8674,863.5245,-2828.3735,978.89124,-7411.602,-4493.97,1484.3274,-4042.7786,-1966.783,-1428.3752,1914.0624,4659.1265,-4658.693,-1968.101,-5630.7617,853.78656,-758.70715,-4111.271,-601.5439,141.4412,3520.8523,550.2647,-2176.1345,-1032.4764,-1628.517,-1543.5402,-2908.5044,-2262.5977,-5153.943,678.8077,1398.0884,1940.0938,-1141.2329,-2564.5647,1333.0099,-5066.721,-3508.1487,-6377.9155,-2278.9287,-3289.5784,2641.0222,1786.2151,-1048.6877,-4572.975,-2095.9556,-4807.0547,-939.6828,-6486.029,1575.682,-4907.2324,1414.3271,-4306.821,-5091.418,-5134.371,-1283.1658,1134.8512,345.54248,-2220.975,-972.94745,-3389.1038,-1989.8148,-3783.049,1646.5715,1845.503,-3180.925,1861.4822,-3269.5986,-1359.9171,-248.353,2000.5298,-3490.5183,-1102.7592,-245.74326,1705.5607,-934.2484,-5389.716,4124.6343,-3056.813,1129.6344,-5667.0845,2082.2258,-420.8526,-2389.5767,2873.0374,-5160.8154,-979.8443,KITTEN,042A
2148.211,-900.2602,-2391.168,107.51886,104.97179,3715.3618,-1299.9604,-1475.9926,4560.5825,1528.0577,612.8151,109.918884,-400.14166,-296.38892,-292.64032,-2883.429,-4348.4277,-4205.0107,-1997.8245,-3073.616,-2636.651,2189.01,-1784.3938,1335.3843,-6229.024,-5110.021,-2802.9731,-4830.452,-1494.2705,778.25653,-1503.986,-2092.0059,-3452.8713,-4097.8784,-6427.5083,-1528.459,1094.4084,601.1196,2422.5684,-512.9085,-4709.0723,-456.66574,-893.8854,855.4427,-2525.5881,879.33044,-6790.66,-4054.3936,1254.9594,-3664.72,-1792.1086,-1185.4805,1666.9626,4154.6704,-4279.122,-1730.6422,-5126.2573,750.0463,-811.3016,-3760.4727,-610.4371,86.91026,3132.7004,551.76636,-1943.2539,-927.1681,-1408.559,-1391.729,-2676.5408,-2088.5293,-4663.4795,628.5839,1252.3467,1673.0288,-992.5528,-2254.7583,1182.5254,-4608.6606,-3171.324,-5760.265,-2034.6202,-2959.4058,2338.988,1600.3777,-1100.7196,-4108.239,-1784.1879,-4409.487,-802.16205,-5795.5264,1394.9862,-4442.7295,1187.7803,-3862.646,-4711.4697,-4532.357,-1230.9899,982.6638,247.26251,-1944.7576,-891.90137,-3112.044,-1859.3168,-3436.1558,1443.2753,1656.8861,-2907.8298,1638.3342,-2915.3389,-1256.7289,-249.83673,1715.3147,-3200.1792,-1004.9281,-239.7214,1505.9204,-782.0022,-4739.899,3722.7444,-2891.4075,1058.6882,-5116.4966,1913.7604,-377.87436,-2223.6604,2540.5542,-4570.634,-783.79144,YOUNG,086A
3184.515,-1292.1022,-3552.7153,159.11084,157.2495,5578.2524,-1977.7484,-2218.5857,6863.6533,2279.8733,963.50836,118.48673,-572.5853,-427.8924,-413.71216,-4292.1714,-6430.2593,-6291.2163,-2994.4062,-4584.7686,-3904.6902,3290.869,-2655.6404,2013.9392,-9240.406,-7714.8887,-4184.825,-7244.95,-2263.278,1196.8896,-2243.3171,-3137.8896,-5145.477,-6148.7124,-9584.535,-2307.2334,1675.6399,936.44586,3607.5654,-752.88715,-7053.644,-601.7832,-1286.0215,1317.1179,-3838.0515,1294.5107,-10122.991,-6014.4106,1903.8558,-5475.671,-2692.293,-1791.6298,2491.8008,6208.5347,-6356.0205,-2626.4556,-7604.2803,1162.3259,-1178.972,-5592.579,-893.37354,191.3291,4701.9375,840.32764,-2933.9827,-1388.9165,-2111.355,-2080.6396,-4023.3752,-3098.1077,-6997.624,930.1138,1879.3835,2472.536,-1456.9796,-3360.7827,1758.9604,-6916.8623,-4753.0083,-8633.882,-3090.3477,-4445.685,3515.408,2407.5354,-1626.4468,-6153.5537,-2643.6748,-6533.5215,-1266.7552,-8668.087,2106.7498,-6566.3267,1836.2018,-5724.0747,-7042.319,-6794.5244,-1829.8405,1494.8226,416.27618,-2921.356,-1334.994,-4689.9106,-2749.336,-5167.884,2161.3486,2459.3025,-4315.8203,2457.463,-4324.8447,-1910.7908,-356.91656,2607.111,-4802.0093,-1471.3253,-336.6973,2218.2217,-1197.4049,-7133.3896,5594.6143,-4335.7734,1649.4028,-7677.075,2873.7488,-554.67645,-3332.308,3783.4094,-6876.4185,-1223.9186,YOUNG,086A
1979.1266,-842.3376,-2188.9937,89.802414,113.6042,3417.4473,-1172.6442,-1351.531,4208.493,1417.6554,595.42426,61.40368,-375.52698,-264.62927,-276.1499,-2638.8894,-4062.209,-3839.632,-1869.407,-2857.7747,-2436.059,2001.616,-1682.3728,1244.271,-5766.661,-4724.137,-2520.769,-4445.177,-1380.2338,725.5571,-1399.1968,-1926.0842,-3158.853,-3758.2246,-5949.1543,-1413.2656,1008.54816,567.30774,2251.988,-474.00058,-4334.1323,-434.13174,-814.85205,749.88416,-2367.1526,811.6671,-6243.4287,-3691.8064,1155.557,-3394.2493,-1647.1011,-1112.6865,1548.4004,3851.0798,-3955.1804,-1606.0043,-4696.1357,693.45544,-737.4103,-3493.8928,-517.156,124.53362,2916.299,531.624,-1834.1057,-857.59155,-1305.7313,-1330.6438,-2465.1658,-1900.182,-4289.473,620.88727,1165.0444,1569.6274,-940.1285,-2079.5105,1083.8689,-4260.8145,-2928.7546,-5275.843,-1881.7509,-2724.5696,2170.3054,1490.794,-975.1024,-3771.5652,-1648.8728,-4084.4958,-776.7859,-5390.673,1322.3687,-4068.069,1110.1716,-3523.883,-4356.0527,-4191.458,-1108.7391,905.2718,250.2428,-1814.9803,-827.413,-2900.2952,-1680.9023,-3153.29,1339.7096,1513.9178,-2684.5334,1507.8784,-2688.9453,-1173.4672,-230.29782,1565.6396,-2957.8562,-926.18085,-211.40227,1383.6421,-745.4851,-4383.7627,3442.4124,-2691.6892,991.1325,-4730.267,1762.0005,-330.0261,-2058.9805,2332.783,-4195.176,-743.1258,ADULT,083A
2607.0374,-1079.8257,-2770.101,159.0353,241.85059,4484.4897,-1564.014,-1722.1301,5464.043,1855.9287,677.70294,46.82123,-399.7249,-434.41342,-360.06024,-3429.0332,-5224.9614,-4992.0405,-2335.8127,-3735.7397,-3062.5913,2534.5444,-2189.6826,1654.5363,-7263.8037,-6121.863,-3346.114,-5754.956,-1825.2408,868.32623,-1840.7517,-2399.6543,-4080.0308,-4775.5635,-7623.694,-1822.4672,1238.2493,782.57074,2821.6226,-723.74097,-5580.726,-561.04846,-1073.9983,953.6085,-3055.4673,1050.6012,-7945.4697,-4829.286,1558.2517,-4329.9717,-2101.686,-1529.5583,2070.7346,5006.8267,-4995.117,-2154.2646,-6073.7446,866.5042,-816.11847,-4397.154,-616.77637,210.64116,3780.5593,643.33704,-2364.134,-1111.5983,-1734.1654,-1723.0314,-3193.056,-2359.1367,-5536.2856,749.5217,1512.2361,2121.9214,-1216.0027,-2753.377,1436.751,-5500.928,-3712.733,-6805.7856,-2447.3035,-3558.2288,2785.0688,1973.7589,-1161.9778,-4978.3613,-2269.0178,-5164.0737,-1037.8212,-6929.1045,1667.4606,-5264.214,1482.291,-4665.8784,-5511.1084,-5443.476,-1388.0696,1221.112,380.101,-2375.6943,-1092.3563,-3669.0103,-2134.0679,-4062.128,1755.6427,1971.541,-3435.5815,1992.0529,-3497.422,-1490.5569,-274.60785,2130.236,-3762.9583,-1191.7886,-299.74756,1800.0996,-1030.1433,-5728.407,4424.4136,-3348.1096,1239.1942,-6107.2275,2236.0867,-415.0149,-2563.774,3092.8333,-5501.078,-1085.5656,SENIOR,057A
