0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,mean_freq,target,cat_id
1409.3912,-589.91766,-1534.1919,106.039665,78.8156,2449.9556,-866.33234,-938.4053,3030.2217,1003.8128,388.11688,24.29794,-239.9542,-194.07355,-190.10522,-1876.9564,-2868.5017,-2750.704,-1285.153,-2057.5986,-1735.2401,1400.7424,-1183.005,895.4055,-4079.1865,-3367.4827,-1894.1902,-3167.054,-960.7505,477.41196,-1025.1602,-1327.3743,-2233.0752,-2666.6287,-4215.5264,-999.603,751.5833,413.38016,1559.5509,-354.71262,-3089.857,-281.77087,-593.1113,548.7895,-1683.189,576.0988,-4466.747,-2634.4087,893.5827,-2371.1965,-1196.2231,-790.6913,1096.5647,2770.7573,-2767.9614,-1142.806,-3320.6912,503.30447,-490.0877,-2428.8223,-391.83823,53.453754,2095.2446,333.75024,-1290.6917,-612.0825,-882.9189,-892.7795,-1774.2935,-1351.7361,-3103.0876,401.85562,825.6076,1105.2997,-688.0068,-1434.182,788.9412,-3001.672,-2087.695,-3782.3809,-1335.7358,-1941.6467,1554.0275,1049.3098,-664.89355,-2695.9062,-1187.9502,-2880.654,-560.17773,-3799.2065,943.9234,-2893.1812,782.4893,-2518.7852,-3035.8313,-2975.4253,-767.1814,662.1424,191.91904,-1300.8256,-555.7436,-2033.8536,-1177.7963,-2226.4004,953.31244,1064.1193,-1893.4363,1070.8096,-1917.6997,-794.2668,-139.16454,1182.2034,-2064.9436,-641.5088,-119.09094,1013.26447,-514.134,-3154.5945,2449.7454,-1870.6744,653.97894,-3401.9104,1241.8872,-247.93051,-1434.0312,1637.642,-3033.2725,-538.34717,679.55,2.0,006A
2200.6082,-935.74677,-2328.2563,138.73637,173.75525,3789.0676,-1321.0941,-1445.2352,4659.346,1589.6383,654.8566,24.34235,-377.36145,-279.2863,-295.53864,-2882.2993,-4445.6333,-4246.405,-1987.1265,-3183.6677,-2606.3372,2164.8792,-1874.1422,1387.9448,-6188.9014,-5183.917,-2777.1775,-4857.2725,-1491.3081,753.8088,-1608.6996,-2036.4198,-3433.3887,-4099.078,-6520.6045,-1545.3386,1131.737,652.29346,2444.836,-585.0334,-4731.568,-479.82974,-951.3717,819.814,-2601.1462,880.49695,-6793.709,-4072.7344,1343.1189,-3718.591,-1743.373,-1256.3994,1752.0696,4299.9927,-4274.972,-1813.4894,-5186.05,810.0427,-709.26337,-3761.3928,-570.3703,189.61327,3259.2761,537.4944,-2027.3134,-941.31665,-1391.2203,-1491.8062,-2710.55,-2040.2104,-4715.813,673.3637,1297.7417,1779.1088,-1088.8787,-2273.1826,1233.5908,-4615.357,-3204.4138,-5800.5103,-2080.645,-3021.641,2424.4094,1643.9545,-982.97046,-4200.284,-1856.8519,-4389.411,-894.18646,-5923.9473,1436.1189,-4497.762,1283.6646,-3942.1438,-4677.916,-4626.874,-1152.1018,1027.7732,323.42905,-2027.9896,-883.37085,-3173.9778,-1763.1523,-3432.9438,1475.1415,1664.4293,-2938.4531,1715.2078,-2959.9565,-1236.8303,-220.25452,1795.6963,-3218.3938,-1001.857,-199.03366,1563.5442,-842.21436,-4913.6895,3791.162,-2865.6838,1066.3766,-5211.877,1881.9407,-354.04343,-2155.646,2578.4675,-4704.3276,-851.61835,469.14,5.0,000A
2475.105,-1037.5206,-2665.4353,151.21465,180.08902,4290.5903,-1477.0851,-1642.8441,5273.4062,1786.0552,718.98627,98.53704,-420.37488,-352.2744,-298.55225,-3317.5315,-5056.2676,-4803.303,-2286.3215,-3533.0603,-2983.2773,2487.3896,-2084.9424,1564.1467,-7132.1084,-5885.7085,-3225.343,-5551.872,-1707.6543,876.6475,-1759.1782,-2360.3555,-3948.0461,-4622.974,-7446.2695,-1739.5126,1275.3652,700.71436,2784.234,-613.704,-5351.304,-557.4225,-1039.9331,943.29584,-2935.6042,1035.8984,-7759.7607,-4697.397,1501.9996,-4168.3086,-2021.8088,-1422.0634,1974.0303,4843.9487,-4906.0703,-2002.3081,-5898.79,903.2556,-849.18005,-4302.909,-678.8822,132.00224,3621.026,629.686,-2265.9712,-1066.562,-1660.2825,-1625.0958,-3080.0427,-2361.2278,-5359.745,730.92773,1472.9724,1984.6284,-1170.2329,-2614.254,1342.8274,-5288.3926,-3621.241,-6570.321,-2362.2725,-3461.5144,2723.1604,1880.2102,-1169.7833,-4712.8135,-2099.864,-5041.541,-946.39124,-6677.008,1621.2456,-5085.492,1353.6705,-4436.235,-5343.004,-5216.6855,-1368.801,1142.6781,343.64142,-2274.596,-1026.9021,-3556.323,-2091.3267,-3912.7102,1700.4235,1919.6124,-3284.2554,1897.9222,-3341.9497,-1415.672,-265.6012,2056.75,-3655.7034,-1159.8486,-271.07635,1758.8676,-900.94324,-5520.322,4314.9126,-3317.3406,1197.1656,-5936.5884,2221.5789,-440.5339,-2475.7183,2912.3738,-5323.8555,-941.29456,1218.97,0.0,044A
2312.6594,-954.5385,-2443.9297,157.5605,163.95305,3949.8235,-1369.1029,-1515.974,4847.0186,1644.7069,637.2987,35.77492,-383.30707,-291.64246,-284.05353,-3019.8892,-4613.7153,-4421.195,-2082.8904,-3288.28,-2778.3838,2268.4563,-1970.741,1446.9241,-6502.2324,-5403.25,-2934.1238,-5076.4487,-1572.5902,786.2396,-1660.1692,-2123.6494,-3597.6716,-4278.9614,-6805.344,-1599.9448,1176.7716,689.8611,2510.6956,-603.30414,-4948.025,-467.58374,-962.0019,863.21265,-2702.4656,939.70685,-7087.241,-4251.823,1404.1638,-3867.556,-1862.0454,-1284.873,1828.8065,4455.0073,-4443.6045,-1868.455,-5413.643,806.7333,-762.4441,-3917.8835,-609.9523,155.08267,3386.2747,553.2288,-2101.195,-979.52057,-1448.6638,-1487.185,-2835.636,-2125.408,-4918.0854,678.0261,1339.0051,1844.1709,-1128.388,-2355.8242,1272.9521,-4833.066,-3354.856,-6071.094,-2190.4978,-3155.6497,2499.416,1710.0918,-1027.3357,-4347.6025,-1933.939,-4625.1836,-913.2479,-6160.529,1491.6991,-4658.2812,1327.1722,-4114.183,-4873.4834,-4809.19,-1214.5981,1059.5934,328.41034,-2104.3079,-923.9042,-3288.6282,-1842.1029,-3570.9143,1521.9563,1738.6456,-3024.2217,1768.645,-3087.5713,-1286.774,-231.09732,1897.0208,-3343.9958,-1033.1346,-227.50684,1604.6594,-866.9052,-5114.4565,3929.2507,-2955.9456,1123.5474,-5426.281,1980.2698,-374.04266,-2272.373,2702.4924,-4902.809,-886.8028,622.03,5.0,000A
2502.9048,-1041.4794,-2695.1538,154.86665,228.91212,4324.639,-1515.1089,-1621.0415,5273.573,1805.0865,718.323,65.01519,-418.8484,-404.20013,-352.46497,-3327.2769,-5012.563,-4851.114,-2326.6982,-3685.35,-3014.3223,2422.318,-2076.5193,1538.8818,-7038.3765,-5843.484,-3247.913,-5528.549,-1707.1619,851.7051,-1741.9974,-2294.7686,-3937.8872,-4661.007,-7341.1875,-1776.0082,1256.8755,721.8874,2761.7783,-712.0711,-5403.0527,-549.526,-1090.3452,894.67596,-2901.674,1017.005,-7709.698,-4653.546,1495.5353,-4211.201,-2029.8152,-1420.6866,1993.9531,4838.8716,-4866.93,-2035.1537,-5870.473,934.6194,-807.57855,-4333.889,-638.4578,131.20279,3657.8777,627.5115,-2305.2139,-1066.2986,-1630.5275,-1631.5751,-3001.7427,-2362.6887,-5322.234,744.0557,1465.7986,1978.0201,-1187.5115,-2603.261,1364.6122,-5281.95,-3654.6301,-6585.6084,-2362.9897,-3396.9934,2782.9717,1852.3898,-1068.5656,-4723.3213,-2070.061,-4960.0054,-958.2795,-6718.1587,1670.4835,-5131.48,1424.5615,-4401.7207,-5347.6006,-5257.949,-1322.0919,1169.9894,365.0826,-2318.5554,-972.34827,-3567.2031,-2023.4889,-3875.3848,1684.6677,1900.985,-3281.9124,1928.9626,-3381.8677,-1409.733,-248.59412,2051.3245,-3678.0332,-1177.351,-246.38602,1798.876,-958.37634,-5573.618,4278.525,-3245.3474,1201.3512,-5902.1978,2149.9255,-455.5556,-2488.937,2923.339,-5325.4194,-979.61005,644.66,6.0,033A
2225.6,-915.402,-2441.1855,146.61563,134.85884,3848.6506,-1322.2323,-1489.3014,4725.538,1584.59,649.20886,92.65793,-376.97803,-296.53986,-285.28937,-2961.342,-4515.439,-4314.4956,-2063.2446,-3247.4905,-2742.6777,2190.6038,-1867.6106,1389.9263,-6381.012,-5267.619,-2926.782,-4960.9507,-1567.1055,758.82587,-1596.7373,-2092.3044,-3526.6377,-4173.786,-6619.832,-1583.1218,1179.3701,637.787,2466.6423,-571.7209,-4842.7573,-468.40353,-941.91614,824.9932,-2611.7334,912.0647,-6974.0527,-4156.762,1344.8341,-3816.6274,-1840.0425,-1254.5562,1747.678,4350.7085,-4357.001,-1775.2167,-5286.239,824.45636,-779.25134,-3817.887,-652.8009,125.978264,3285.8757,544.0642,-2034.9604,-956.4252,-1413.7554,-1450.5442,-2719.437,-2127.2952,-4793.9614,643.6541,1305.3933,1740.6865,-1087.1506,-2320.3813,1225.0469,-4780.6543,-3301.4983,-5931.1216,-2141.537,-3084.4,2426.7942,1655.254,-1031.4009,-4232.239,-1827.0688,-4508.3574,-869.0681,-5988.377,1494.5814,-4607.6416,1266.1194,-3971.3374,-4778.705,-4659.9316,-1224.1383,1045.5624,299.95026,-2018.619,-926.77686,-3208.4604,-1881.5238,-3536.6987,1475.6467,1679.6602,-2903.8352,1714.5691,-2998.608,-1266.2332,-227.60562,1812.1432,-3260.839,-1012.94104,-200.65027,1606.0968,-805.6774,-4991.655,3837.439,-2961.926,1100.464,-5300.5767,1953.8608,-372.85345,-2267.0679,2615.021,-4762.7583,-846.149,639.8,14.0,093A
2249.3428,-991.294,-2427.272,101.41177,121.230576,3863.51,-1353.573,-1530.9868,4778.3525,1624.3763,602.29584,39.248096,-415.14536,-342.63354,-333.53317,-3001.604,-4613.7964,-4337.5527,-2058.4866,-3178.7136,-2814.9233,2260.3796,-1897.1829,1390.4121,-6556.34,-5359.8955,-2858.028,-5092.95,-1579.4174,766.262,-1594.1154,-2158.753,-3568.95,-4174.1133,-6718.1426,-1568.9661,1093.2856,677.09753,2478.0212,-557.10315,-4874.163,-505.41098,-940.85187,840.6614,-2726.3406,947.32086,-7072.7817,-4206.2656,1334.8762,-3801.6777,-1861.2241,-1281.3374,1754.8933,4388.2754,-4408.9023,-1801.7379,-5349.478,734.1309,-810.12036,-3857.1274,-606.01074,143.46744,3264.908,549.154,-2063.5356,-974.3908,-1476.566,-1475.4404,-2840.8804,-2105.592,-4901.474,661.5137,1310.7157,1779.9496,-1108.3193,-2350.1123,1285.3829,-4857.623,-3237.594,-6010.9194,-2117.9766,-3161.9834,2399.9885,1690.5387,-1125.326,-4323.472,-1971.5981,-4628.9287,-915.20264,-6054.484,1457.2207,-4644.042,1262.2808,-4044.4194,-4872.0596,-4696.848,-1271.7657,1016.15424,268.40244,-1983.4458,-903.6744,-3310.5034,-1879.8638,-3562.4568,1513.9315,1714.1671,-3086.1567,1713.5916,-3042.733,-1313.8131,-239.0734,1790.4916,-3306.906,-1036.0665,-270.62665,1556.5304,-813.72363,-4991.4727,3872.4536,-2995.5369,1065.3221,-5432.2534,1982.7767,-363.95636,-2334.1453,2680.2952,-4817.3184,-820.23535,488.86,11.0,015A
2817.9336,-1189.6707,-3057.728,121.34378,138.50342,4823.4165,-1669.6239,-1954.4133,5920.424,2013.0713,715.1027,108.189186,-486.45337,-403.56876,-331.05267,-3719.837,-5606.8066,-5469.408,-2535.1707,-3952.1016,-3366.9683,2877.3662,-2381.822,1752.8424,-7904.813,-6587.776,-3561.2449,-6205.7197,-1984.0581,998.1032,-1935.3142,-2644.5244,-4471.539,-5315.375,-8238.944,-1960.4584,1348.4661,787.4889,3010.0308,-726.956,-6064.9,-548.9549,-1207.9517,1092.5095,-3246.9973,1166.4978,-8755.196,-5230.863,1761.3066,-4816.0493,-2280.2417,-1638.7146,2187.6523,5378.519,-5416.1704,-2265.2163,-6657.2754,920.1184,-996.0567,-4809.845,-773.22943,142.9807,4039.564,679.62146,-2514.2952,-1201.6528,-1842.1884,-1815.321,-3507.4597,-2568.4348,-6033.6636,740.7311,1618.415,2253.7607,-1300.5186,-2978.4182,1571.0576,-5959.6245,-4077.0054,-7481.1187,-2608.3635,-3882.777,2955.016,2110.7996,-1429.275,-5410.2437,-2441.9707,-5673.535,-1072.5848,-7547.4897,1772.568,-5730.938,1638.9133,-5082.4175,-6022.3994,-5890.33,-1517.705,1249.9325,347.4808,-2483.522,-1193.3182,-4031.3152,-2376.6438,-4464.04,1891.9521,2140.317,-3693.884,2180.5747,-3803.346,-1570.4529,-317.71185,2255.575,-4103.6343,-1260.3187,-383.23608,1933.4845,-1046.6388,-6201.9766,4795.1865,-3622.1526,1384.1298,-6665.6924,2438.2893,-461.65436,-2889.7214,3382.0437,-5916.29,-1119.8386,396.75,17.0,097A
1160.2306,-497.7206,-1310.9623,90.488556,94.898506,2050.0632,-721.41095,-757.2223,2518.3132,847.5965,356.76477,51.87333,-198.19902,-218.97093,-171.77234,-1595.4653,-2378.6443,-2311.8665,-1101.1447,-1772.867,-1457.0942,1140.7579,-953.20935,724.25366,-3371.4753,-2777.9116,-1571.6658,-2652.0203,-811.13776,404.89682,-826.15735,-1114.4613,-1888.1056,-2218.3147,-3502.341,-834.9958,607.0483,344.0188,1340.5936,-312.02625,-2572.5889,-262.0989,-518.88727,425.2165,-1378.427,469.73404,-3712.1555,-2193.1177,719.26483,-1985.2239,-980.9593,-682.2661,930.5162,2308.6396,-2312.2253,-948.8562,-2763.1948,437.89426,-409.39563,-2043.5538,-330.09775,50.161533,1717.8706,284.44275,-1071.6598,-507.32217,-794.5059,-763.8419,-1430.6803,-1156.1104,-2560.576,350.45322,707.2665,929.5217,-557.51215,-1237.2621,661.70526,-2501.2717,-1737.0314,-3122.661,-1089.2112,-1635.0392,1322.465,878.73474,-540.42944,-2264.6836,-989.2969,-2366.8806,-446.80548,-3165.38,805.8133,-2454.202,652.2797,-2096.532,-2546.2925,-2505.473,-663.43695,576.7975,172.26877,-1083.8285,-452.47073,-1689.5028,-991.33307,-1886.7777,809.64246,904.057,-1559.3738,903.8928,-1620.5575,-679.8473,-116.69376,973.46436,-1726.8439,-561.786,-95.59917,883.68976,-410.5821,-2604.0088,2054.6514,-1585.4523,543.79474,-2838.9512,1035.3685,-226.80829,-1225.3726,1373.002,-2520.9443,-450.06757,568.39,14.0,051A
3432.7656,-1541.0187,-3567.4163,141.6372,199.09879,5830.498,-2044.5496,-2307.0422,7206.382,2397.724,940.5618,17.084812,-572.5253,-438.71484,-493.6411,-4395.004,-6895.6626,-6510.445,-3085.9045,-4815.454,-4083.4473,3407.294,-2857.5996,2135.993,-9626.342,-8022.9473,-4274.3584,-7485.9775,-2389.456,1197.2646,-2422.1833,-3110.2773,-5239.5625,-6264.009,-10138.332,-2371.8203,1703.1033,1026.8492,3671.1147,-912.86884,-7322.6265,-778.0554,-1402.6254,1241.6232,-4029.944,1390.1738,-10569.842,-6342.555,1974.5508,-5724.5854,-2713.1807,-1987.7805,2631.3218,6563.056,-6541.0303,-2772.9888,-8049.744,1189.7877,-1177.5822,-5795.865,-953.5909,383.61505,5013.755,862.8021,-3187.255,-1456.9935,-2092.754,-2265.067,-4315.3423,-3048.861,-7324.695,960.1431,1954.6375,2706.9692,-1727.2668,-3517.0532,1929.1254,-7240.814,-4887.663,-9009.246,-3238.1528,-4683.731,3654.6704,2554.3528,-1532.2394,-6583.6235,-2939.6733,-6796.426,-1456.6464,-9120.84,2164.3262,-6948.091,1971.3787,-6022.765,-7287.645,-6985.25,-1772.9805,1555.3734,497.83463,-3114.406,-1409.6368,-4931.9487,-2771.1396,-5348.9697,2269.2712,2500.002,-4451.7446,2584.8496,-4563.5938,-1970.6648,-317.97165,2733.385,-4941.792,-1504.8328,-379.9785,2285.8662,-1287.9362,-7595.286,5787.5015,-4376.1763,1637.7616,-8126.399,2904.1301,-494.50452,-3358.0054,3971.235,-7248.2686,-1367.9718,416.3,10.0,001A
