0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,gender,target,cat_id
3923.8267,-1657.5614,-4328.9487,150.04147,281.90692,6770.4385,-2341.1516,-2649.1008,8267.521,2796.2754,1075.0625,74.00379,-664.09283,-719.5327,-544.3401,-5322.9565,-7742.6743,-7694.467,-3657.8726,-5762.304,-4767.3223,3905.3438,-3236.781,2514.8213,-11181.004,-9294.317,-5109.751,-8840.169,-2798.1477,1435.3925,-2645.49,-3778.8633,-6292.205,-7299.958,-11550.237,-2795.0688,1881.1191,1100.9181,4348.1816,-1009.4125,-8639.446,-848.0924,-1641.585,1524.6975,-4601.359,1580.8251,-12295.432,-7282.92,2379.5344,-6624.997,-3239.2039,-2276.6633,3077.6003,7565.9565,-7679.864,-3139.2258,-9264.809,1434.0886,-1318.8724,-6955.998,-1119.6105,200.87193,5543.7666,1037.7164,-3520.5222,-1676.8282,-2587.2856,-2489.8538,-4749.714,-3727.712,-8461.639,1069.012,2357.4124,3082.8237,-1738.8103,-4188.0146,2146.601,-8532.45,-5738.2417,-10441.623,-3656.5454,-5324.7275,4305.6533,2996.53,-1882.2793,-7472.1997,-3280.9714,-7818.596,-1440.4092,-10527.26,2629.0574,-8085.6006,2170.2595,-6932.997,-8677.184,-8368.874,-2204.1895,1756.6115,464.83142,-3577.0842,-1606.783,-5646.363,-3367.611,-6219.019,2671.1812,2989.5354,-5236.232,3047.4492,-5366.2886,-2263.087,-390.7124,3089.6018,-5846.4653,-1858.5747,-477.17087,2799.196,-1546.3624,-8712.103,6743.475,-5304.9414,1923.7329,-9409.009,3508.7065,-710.08374,-4133.5156,4661.7227,-8295.46,-1579.1163,,9.0,
4089.8389,-1736.0663,-4449.99,185.7019,268.89,7049.237,-2444.8752,-2755.3657,8618.26,2939.5034,1162.2375,144.25348,-714.592,-620.78973,-550.0405,-5494.6763,-8301.857,-7945.348,-3815.9387,-5908.3936,-4926.133,4137.269,-3391.582,2593.7393,-11723.424,-9661.569,-5338.5967,-9196.304,-2877.2402,1451.1431,-2787.908,-3948.48,-6533.7534,-7666.987,-12303.51,-2908.9316,2099.195,1123.3951,4580.5337,-1047.9795,-8925.351,-928.817,-1675.6375,1659.8577,-4892.9375,1684.0796,-12845.689,-7658.0195,2484.7473,-6856.7314,-3406.7314,-2329.5405,3249.9185,7861.529,-8090.6167,-3252.0967,-9701.133,1465.1448,-1456.1871,-7177.08,-1077.4097,203.7745,5918.0596,1102.7169,-3783.582,-1747.3588,-2700.2207,-2621.2012,-5019.517,-3849.4702,-8784.349,1174.7319,2399.2002,3239.1372,-1892.3315,-4323.067,2229.8884,-8813.626,-5989.339,-10870.0,-3865.5374,-5584.1055,4485.041,3111.1575,-1956.6796,-7798.5522,-3489.688,-8298.098,-1503.0615,-11012.846,2703.649,-8393.189,2252.037,-7321.517,-8939.694,-8658.6455,-2313.4622,1817.938,500.8974,-3769.7996,-1724.5486,-5841.166,-3508.6338,-6465.32,2808.9895,3130.7356,-5427.489,3101.881,-5589.327,-2344.3337,-441.44595,3308.5852,-6079.7427,-1952.1536,-450.4777,2877.442,-1525.9326,-9053.781,7072.0728,-5448.507,2036.845,-9800.683,3674.8372,-715.3117,-4202.9463,4864.1733,-8630.444,-1586.5468,,9.0,
2630.3213,-1133.1182,-2822.4949,116.81491,148.93947,4510.571,-1566.2817,-1772.5409,5548.958,1865.2072,697.1723,56.09679,-472.63086,-319.03488,-319.0127,-3521.2751,-5322.452,-5107.7476,-2467.193,-3764.653,-3210.0952,2643.1482,-2221.1787,1690.0405,-7601.1816,-6270.8745,-3400.5134,-5877.1123,-1865.2896,914.59357,-1849.7153,-2541.5215,-4204.696,-4885.9473,-7916.1626,-1848.0568,1335.0127,757.5083,2923.0674,-638.7839,-5737.87,-578.3682,-1048.8271,1053.249,-3184.8958,1065.0201,-8211.263,-4903.508,1597.6792,-4426.275,-2207.1523,-1490.4099,2092.3796,5067.473,-5238.046,-2083.8293,-6211.99,919.6292,-949.0073,-4589.5215,-698.87115,136.62497,3811.7036,651.4003,-2403.4915,-1129.2557,-1726.0095,-1722.0747,-3261.7385,-2464.7646,-5644.677,769.33307,1523.6807,2075.6558,-1254.342,-2774.6584,1406.3516,-5649.54,-3856.5227,-7011.273,-2495.476,-3613.31,2843.7405,1960.3569,-1248.8262,-4960.4224,-2255.4004,-5359.6543,-1031.7145,-7115.681,1740.6224,-5401.9316,1421.512,-4714.7573,-5708.326,-5577.95,-1453.58,1165.7734,316.4602,-2436.558,-1101.3835,-3819.7144,-2203.3196,-4152.206,1773.2971,2011.8767,-3507.7324,2005.3914,-3545.73,-1506.003,-282.91296,2118.3362,-3883.9265,-1232.7778,-292.98285,1796.2054,-1024.0826,-5799.8394,4534.6626,-3489.9736,1304.4047,-6294.0874,2373.6677,-443.71768,-2705.8223,3111.7024,-5612.633,-1012.9477,,1.0,
3418.021,-1460.8905,-3693.2563,175.07227,223.23785,5925.896,-2103.4473,-2333.1167,7248.5273,2438.434,966.12573,129.70483,-592.2686,-470.24133,-454.07574,-4581.2827,-6882.8237,-6688.569,-3196.8528,-4979.3037,-4092.4858,3433.692,-2814.796,2174.847,-9755.879,-8173.5386,-4474.9053,-7701.157,-2438.3193,1249.724,-2409.5554,-3318.2708,-5461.208,-6432.6045,-10206.05,-2497.2446,1751.4302,979.0525,3806.9248,-878.1786,-7513.553,-730.4333,-1379.4006,1406.6827,-4135.8823,1356.47,-10729.214,-6406.2236,2042.0715,-5801.876,-2854.7827,-1974.5168,2696.8318,6600.138,-6743.0913,-2734.329,-8068.916,1248.9946,-1179.0864,-5905.3965,-960.8414,182.82497,4983.2744,871.1405,-3142.0452,-1475.2625,-2222.3506,-2204.0828,-4222.799,-3258.7385,-7365.143,985.27515,1997.1404,2682.783,-1567.0955,-3589.022,1857.4121,-7368.7617,-5043.654,-9128.719,-3233.4429,-4676.059,3762.5122,2556.082,-1637.6064,-6551.198,-2866.3926,-6880.3887,-1299.1648,-9218.834,2238.6118,-7090.3457,1922.6334,-6086.465,-7485.3223,-7253.701,-1924.9987,1542.5848,414.75455,-3159.424,-1454.8704,-4974.9497,-2897.989,-5439.245,2307.3032,2585.138,-4565.4014,2641.782,-4694.273,-2000.5917,-355.47427,2754.8008,-5094.5015,-1628.8463,-349.68155,2394.9224,-1358.0436,-7653.18,5901.011,-4593.7207,1697.2819,-8230.357,3037.8606,-618.65454,-3505.5862,4051.4805,-7300.995,-1356.3998,,5.0,
3519.2988,-1503.3531,-3840.108,165.0166,182.78444,6066.896,-2140.0164,-2390.5337,7461.0986,2532.0361,1002.02875,97.9334,-617.10846,-466.98596,-495.5464,-4700.9,-7140.0405,-6858.228,-3281.9524,-5077.4756,-4247.932,3526.2695,-2928.2788,2212.2678,-10103.756,-8394.677,-4570.995,-7911.2324,-2504.675,1265.9032,-2485.7546,-3409.7676,-5611.9653,-6581.1147,-10570.722,-2559.7373,1821.9882,998.75476,3934.6694,-901.3227,-7715.1963,-778.36066,-1366.897,1438.364,-4266.7847,1412.9314,-11073.032,-6611.702,2059.176,-5984.471,-2934.294,-2010.2224,2771.74,6784.1455,-6975.6167,-2812.8022,-8328.264,1270.9244,-1236.4215,-6032.097,-955.0703,189.75276,5150.7637,924.8544,-3265.768,-1518.711,-2293.1401,-2293.882,-4384.2397,-3332.6584,-7585.624,1015.65735,2065.9375,2757.7505,-1654.4338,-3699.281,1879.7178,-7614.6167,-5167.5933,-9380.365,-3326.2896,-4821.5415,3817.7043,2642.7686,-1695.563,-6705.731,-2964.2217,-7168.0454,-1334.9619,-9472.22,2319.6958,-7288.4106,1928.5652,-6307.4546,-7724.7266,-7443.501,-1982.5016,1585.5831,434.44034,-3250.8962,-1496.1138,-5133.438,-3006.456,-5552.191,2382.5962,2655.8115,-4709.235,2709.1396,-4804.6133,-2048.2673,-366.39795,2831.9695,-5247.5884,-1683.2836,-364.71396,2438.1023,-1392.6505,-7817.145,6086.0864,-4761.4844,1760.2281,-8456.461,3117.0994,-620.8976,-3614.043,4164.354,-7517.5205,-1406.9124,,5.0,
2525.2927,-1104.7052,-2646.207,99.55173,176.02916,4269.226,-1474.2421,-1704.5273,5223.382,1751.1945,648.0517,87.3944,-434.5213,-321.18365,-347.42172,-3288.4263,-5021.033,-4838.104,-2289.1638,-3544.1494,-2969.2197,2516.5398,-2098.1875,1579.9851,-7085.666,-5882.7163,-3122.4685,-5544.1787,-1761.2693,861.2457,-1756.5675,-2385.1519,-3966.2808,-4649.2886,-7383.53,-1760.56,1216.281,728.19,2733.8171,-646.28827,-5378.155,-508.5132,-980.76904,988.46326,-3013.5037,1044.7706,-7728.181,-4635.973,1507.9551,-4248.3906,-2054.0994,-1444.7307,1963.9854,4772.266,-4853.724,-1997.5967,-5896.5557,846.7897,-845.4888,-4252.6997,-653.29913,173.07234,3597.6506,615.9011,-2282.2712,-1066.8405,-1622.0352,-1617.9663,-3076.5105,-2282.1545,-5314.9053,733.55634,1452.405,2021.561,-1188.9916,-2619.8516,1347.6722,-5354.3457,-3635.3516,-6613.626,-2322.417,-3402.3872,2672.8296,1845.9397,-1185.5522,-4736.9067,-2152.129,-5028.995,-974.706,-6739.9644,1599.9763,-5081.966,1411.5073,-4513.4214,-5388.856,-5223.1743,-1364.7091,1104.4733,288.34747,-2264.649,-1041.5874,-3619.9006,-2046.5488,-3919.4849,1655.4286,1877.2916,-3303.3064,1932.8828,-3369.4197,-1433.2498,-259.83508,1962.0264,-3702.7444,-1168.1005,-280.58154,1687.0919,-1003.0276,-5560.4883,4255.1284,-3248.6133,1234.9164,-5940.5347,2204.7185,-395.47537,-2565.6943,2958.7065,-5263.851,-983.1265,,7.0,
4643.479,-2090.7834,-5146.289,246.63062,255.31004,7982.2534,-2714.6135,-3140.4805,9792.286,3328.037,1339.5802,67.17542,-801.15173,-678.82245,-630.8867,-6243.3677,-9315.71,-9020.131,-4254.595,-6748.1934,-5561.685,4585.9185,-4026.8481,3003.582,-13397.613,-10963.8545,-6024.256,-10371.103,-3224.7214,1620.4503,-3181.61,-4429.9443,-7304.575,-8615.711,-13830.617,-3246.5286,2322.5422,1353.4418,5169.4185,-1187.148,-10103.552,-1052.9631,-1944.1694,1735.9143,-5426.97,1891.278,-14573.397,-8599.046,2841.6052,-7862.697,-3801.0088,-2658.851,3633.3655,9013.725,-9043.363,-3707.675,-10957.756,1672.3738,-1593.9235,-8132.2646,-1248.4916,339.7934,6716.9507,1210.7173,-4188.261,-1986.7365,-2981.5232,-2938.8474,-5708.2554,-4335.931,-10076.445,1301.8623,2824.0461,3684.8105,-2160.8267,-4835.265,2576.6506,-10052.151,-6749.783,-12337.32,-4363.968,-6355.465,5038.698,3562.363,-2244.558,-8857.64,-3915.9644,-9374.787,-1774.0887,-12427.083,3108.2249,-9529.727,2540.091,-8266.277,-10183.123,-9813.297,-2528.1724,2061.7798,601.4575,-4257.5215,-1902.0286,-6668.306,-3954.0347,-7351.729,3167.0403,3465.1575,-6177.002,3523.766,-6306.931,-2682.6895,-488.78644,3759.7385,-6911.2085,-2172.341,-557.47906,3341.7314,-1761.546,-10290.676,8031.373,-6242.72,2271.9355,-11240.587,4087.1895,-734.24835,-4872.2153,5461.2744,-9935.64,-1964.6508,,9.0,
3227.7998,-1441.8368,-3474.3328,110.59683,176.56653,5459.0596,-1922.6184,-2217.255,6691.373,2208.5508,800.4382,114.58373,-582.9168,-413.18253,-369.03674,-4298.178,-6361.882,-6231.4707,-2948.878,-4591.699,-3811.5142,3247.0251,-2662.5767,2039.7965,-9086.008,-7515.6885,-4072.3801,-7129.4614,-2290.0613,1140.8771,-2254.1074,-3112.9019,-5093.5386,-5952.2705,-9497.386,-2245.7598,1538.4982,905.87354,3514.203,-790.95734,-6960.885,-671.14166,-1336.4207,1257.1914,-3863.4219,1294.4114,-9984.928,-5893.73,1965.1147,-5441.8223,-2635.686,-1865.7941,2475.621,6113.2026,-6230.093,-2500.156,-7561.098,1093.0691,-1148.4395,-5563.379,-974.13116,217.5583,4506.3457,754.83765,-2851.6306,-1366.2623,-2051.607,-2025.6569,-3923.595,-2980.8616,-6864.5728,864.7949,1843.4795,2521.3037,-1495.4824,-3323.7388,1763.6265,-6875.2812,-4691.677,-8523.275,-2976.5684,-4354.522,3405.976,2390.3176,-1597.843,-6106.1646,-2745.645,-6352.4297,-1217.3661,-8653.46,2051.4277,-6563.385,1813.1633,-5705.2593,-6954.7886,-6755.5425,-1805.9369,1400.4855,328.23648,-2841.3926,-1354.1213,-4609.2173,-2684.22,-5141.1367,2109.2395,2382.1003,-4287.192,2465.0166,-4357.3047,-1877.6508,-329.45465,2481.338,-4753.564,-1478.6107,-385.91766,2201.7834,-1282.824,-7111.1885,5425.7007,-4182.3467,1543.6066,-7652.0347,2840.3896,-563.9107,-3340.5972,3823.5503,-6756.619,-1251.4261,,7.0,
2844.062,-1193.6013,-3055.745,121.42676,131.78784,4875.2637,-1689.2036,-1917.0176,5988.826,2027.1362,828.36664,77.35074,-515.9638,-276.73578,-347.02582,-3767.8315,-5774.396,-5482.1245,-2653.694,-4075.958,-3462.7876,2801.9336,-2400.648,1773.3636,-8227.463,-6750.973,-3652.0203,-6331.041,-1994.4594,1044.5786,-2005.294,-2720.817,-4503.368,-5299.1426,-8558.495,-1998.8663,1490.068,812.95496,3171.5793,-695.27435,-6212.888,-629.5556,-1118.2177,1078.3937,-3433.6401,1156.9418,-8878.643,-5271.8857,1714.8778,-4855.3047,-2377.5896,-1563.1779,2250.9758,5477.6357,-5637.896,-2232.7043,-6678.29,1030.2688,-1010.31854,-4942.0337,-787.62506,177.76219,4165.2617,745.82684,-2609.3235,-1214.1866,-1773.5226,-1837.19,-3504.278,-2676.5403,-6085.2993,849.69214,1644.8223,2213.499,-1396.152,-2930.3174,1513.6272,-6042.098,-4217.1533,-7560.4834,-2715.2212,-3883.603,3092.0613,2105.0798,-1338.3647,-5352.058,-2339.7012,-5764.8438,-1085.4487,-7646.5938,1925.9673,-5839.128,1555.4287,-5021.442,-6206.4487,-5999.3975,-1555.1154,1241.2201,349.9916,-2633.7498,-1203.1833,-4162.361,-2353.1426,-4449.5703,1896.9877,2116.4153,-3752.0837,2177.2388,-3855.5115,-1649.3156,-280.32114,2265.35,-4211.775,-1315.1017,-261.19333,1944.1753,-1115.6075,-6311.263,4872.055,-3762.4111,1473.0687,-6795.5796,2505.0256,-491.59613,-2931.518,3328.3604,-6057.9634,-1089.0232,,1.0,
2717.9236,-1173.3126,-2936.906,122.36316,127.85704,4695.5005,-1672.4088,-1848.4803,5750.752,1924.5167,735.36237,65.29215,-497.68854,-352.52274,-379.78262,-3610.2104,-5511.3633,-5282.704,-2529.9817,-3870.922,-3319.0364,2736.5867,-2256.579,1732.443,-7889.0654,-6522.6685,-3544.5222,-6127.6035,-1910.6687,982.40875,-1925.4155,-2655.115,-4338.1333,-5090.409,-8250.037,-1924.9639,1378.4954,784.9307,3058.3442,-673.82837,-5951.107,-602.1013,-1031.949,1098.8282,-3383.6775,1093.8508,-8538.81,-5104.668,1605.6595,-4597.616,-2291.8337,-1555.5441,2149.0505,5214.7197,-5414.7627,-2146.7698,-6408.5967,937.3365,-984.3817,-4722.918,-728.8647,143.06023,3948.8293,698.421,-2484.471,-1173.5802,-1790.2621,-1745.1226,-3390.4973,-2592.6917,-5884.0474,798.0292,1566.9082,2120.9924,-1262.1875,-2861.572,1460.1616,-5876.2607,-3981.7207,-7299.161,-2563.3896,-3728.8008,2942.6504,2015.0582,-1337.7076,-5177.98,-2340.4844,-5567.1035,-1078.1278,-7329.707,1784.3529,-5620.1284,1434.7859,-4885.55,-5972.2935,-5773.547,-1549.1825,1206.7904,321.78802,-2534.281,-1145.6543,-3967.8484,-2318.296,-4298.809,1843.0704,2054.7253,-3649.3308,2057.318,-3661.0327,-1616.0309,-306.0594,2181.0657,-4029.7463,-1283.911,-293.36234,1847.582,-1063.6788,-6010.082,4700.3296,-3660.5237,1340.9727,-6560.1875,2449.088,-475.46832,-2809.2915,3211.1567,-5779.676,-1058.1573,,2.0,
